lipid_name,ISTA_X_hat,ISTA_raw_solver_reported,ISTA_joint_score,ISTA_retained_by_pool,ISTA_retained_by_fdp5,ISTA_retained_by_fdp1,NNLS_X_hat,NNLS_raw_solver_reported,NNLS_joint_score,NNLS_retained_by_pool,NNLS_retained_by_fdp5,NNLS_retained_by_fdp1
PA 20:1_20:1,0.0012204861544833515,True,0.005904324938712007,False,False,False,0,False,,False,False,False
PS 14:0_22:0,0.004943039691070102,True,0.6514101006991938,True,False,False,0.0075669929996239026,True,0.8588751736338164,True,True,False
PS 14:0_22:1,0.007469897935364135,True,0.8216830823260608,True,True,False,0.018965550342361175,True,0.9552146906804808,True,True,False
PS 14:0_22:2,0.0035910531830547748,True,0.45253505294125135,False,False,False,0.004182836498727631,True,0.5867324112043214,False,False,False
PS 16:0_18:1,0.018849844165172713,True,0.9828873946788518,True,True,True,0.008631765772233046,True,0.9457228320144557,True,True,False
PS 16:0_20:1,0,False,,False,False,False,0.015245728758916624,True,0.9693516154494219,True,True,True
PS 16:0_20:2,0.003465598543634408,True,0.43418880825079087,False,False,False,0.0041234599680959275,True,0.5887657195745448,False,False,False
PS 20:0_16:1,0,False,,False,False,False,0.008219309223087641,True,0.8981092162097206,True,True,False
PS 16:1_20:1,0.003767493836187643,True,0.5759890259183167,False,False,False,0.005394397897579443,True,0.8156551550363761,True,True,False
PS 18:0_18:1,0.07104063590718107,True,0.9929893861302918,True,True,True,0.05174781025752236,True,0.9950647849558745,True,True,True
PS 18:0_18:2,0.004019268843843552,True,0.5826161021649842,False,False,False,0.010028868150931706,True,0.9432679941610974,True,True,False
PS 18:1_18:1,0.07337007264323502,True,0.9994819865346593,True,True,True,0.07479642656792423,True,0.9994672889472652,True,True,True
PE 16:0_22:4,0.02052518620541731,True,0.7958503314059616,True,False,False,0.04841360997904436,True,0.7950184062702935,True,False,False
PE 16:0_22:6,0.056662870395508505,True,0.9899368002891562,True,True,True,0.030820234612386966,True,0.9924850004237636,True,True,True
PE 18:0_20:1,0.002910685452931968,True,0.2723965097410628,False,False,False,0,False,,False,False,False
PE 18:0_20:4,0.10008111490599345,True,0.4745502732735387,False,False,False,0.024596764409961475,True,0.72812891073451,True,False,False
PE 18:0_20:5,0.0011026387225491967,True,0.0033555673188283524,False,False,False,0,False,,False,False,False
PE 18:0_22:4,0.0224243672740242,True,0.9762440458956523,True,True,True,0,False,,False,False,False
