dataset_id,severity,split,lipid_name,molecular_truth,reportable_truth,raw_solver_reported,X_hat,rho_zero
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_20:4,True,True,True,0.014569481302090138,2.822739754113784e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_20:5,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_22:1,True,True,True,0.003894288494092366,9.14672302110487e-11
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_22:2,True,True,True,0.020249428608145773,3.7809718122383835e-08
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_22:3,True,True,True,0.0042837465510995295,1.3575207862575189e-21
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_22:4,True,True,True,0.027605658305070252,3.3721360963381824e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_22:5,True,True,True,0.013718151648280963,6.080325319861068e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:1_22:6,True,True,True,0.00551747570674745,1.896553306716338e-07
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-20:0_18:2,True,True,True,0.028561519999538154,4.237189069703984e-06
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-20:1_18:2,False,False,False,0,
NNLS_FULL_LIBRARY_5PCT__CAL_R71_K125,FULL_LIBRARY_5PCT,CAL,PE O-18:2_20:2,True,True,True,0.014544973937421025,1.2508220649754513e-07
