score,threshold,TP,FP,FDR,precision,all_truth_recall,TP_retention,reportable_truth_recall,coverage,solver_FN,post_solver_true_loss
rho_zero,1.3196221071727676e-07,80,43,0.34959349593495936,0.6504065040650406,0.64,0.64,0.64,0.5829383886255924,0,45
rho_zero,1.2745442857327864e-07,80,44,0.3548387096774194,0.6451612903225806,0.64,0.64,0.64,0.5876777251184834,0,45
rho_zero,1.1454457500220701e-07,80,45,0.36,0.64,0.64,0.64,0.64,0.5924170616113744,0,45
rho_zero,9.566292098304336e-08,80,46,0.36507936507936506,0.6349206349206349,0.64,0.64,0.64,0.5971563981042654,0,45
rho_zero,9.265220323001758e-08,81,46,0.36220472440944884,0.6377952755905512,0.648,0.648,0.648,0.6018957345971564,0,44
rho_zero,9.172086170267859e-08,81,47,0.3671875,0.6328125,0.648,0.648,0.648,0.6066350710900474,0,44
rho_zero,9.049997496953484e-08,82,47,0.3643410852713178,0.6356589147286822,0.656,0.656,0.656,0.6113744075829384,0,43
rho_zero,8.989085445777163e-08,83,47,0.36153846153846153,0.6384615384615384,0.664,0.664,0.664,0.6161137440758294,0,42
rho_zero,6.84269940094514e-08,84,47,0.35877862595419846,0.6412213740458015,0.672,0.672,0.672,0.6208530805687204,0,41
rho_zero,6.312731853660888e-08,84,48,0.36363636363636365,0.6363636363636364,0.672,0.672,0.672,0.6255924170616114,0,41
rho_zero,5.091829618753391e-08,84,49,0.3684210526315789,0.631578947368421,0.672,0.672,0.672,0.6303317535545023,0,41
rho_zero,4.1895751319354195e-08,84,50,0.373134328358209,0.6268656716417911,0.672,0.672,0.672,0.6350710900473934,0,41
rho_zero,3.9087060114047604e-08,85,50,0.37037037037037035,0.6296296296296297,0.68,0.68,0.68,0.6398104265402843,0,40
rho_zero,3.901584895451474e-08,85,51,0.375,0.625,0.68,0.68,0.68,0.6445497630331753,0,40
rho_zero,3.776652699052412e-08,85,52,0.3795620437956204,0.6204379562043796,0.68,0.68,0.68,0.6492890995260664,0,40
rho_zero,3.419002040045556e-08,86,52,0.37681159420289856,0.6231884057971014,0.688,0.688,0.688,0.6540284360189573,0,39
rho_zero,3.325654413587819e-08,86,53,0.381294964028777,0.6187050359712231,0.688,0.688,0.688,0.6587677725118484,0,39
rho_zero,2.919677675568251e-08,86,54,0.38571428571428573,0.6142857142857143,0.688,0.688,0.688,0.6635071090047393,0,39
rho_zero,2.9056792623825783e-08,87,54,0.3829787234042553,0.6170212765957447,0.696,0.696,0.696,0.6682464454976303,0,38
rho_zero,2.5763920432146425e-08,88,54,0.38028169014084506,0.6197183098591549,0.704,0.704,0.704,0.6729857819905213,0,37
rho_zero,1.675518035817457e-08,88,55,0.38461538461538464,0.6153846153846154,0.704,0.704,0.704,0.6777251184834123,0,37
rho_zero,1.2887134164824975e-08,89,55,0.3819444444444444,0.6180555555555556,0.712,0.712,0.712,0.6824644549763034,0,36
rho_zero,8.810932391348591e-09,89,56,0.38620689655172413,0.6137931034482759,0.712,0.712,0.712,0.6872037914691943,0,36
rho_zero,1.2613109430716862e-18,90,56,0.3835616438356164,0.6164383561643836,0.72,0.72,0.72,0.6919431279620853,0,35
rho_zero,3.6037455516333895e-19,92,58,0.38666666666666666,0.6133333333333333,0.736,0.736,0.736,0.7109004739336493,0,33
rho_zero,0.0,125,86,0.4075829383886256,0.5924170616113744,1.0,1.0,1.0,1.0,0,0
X_hat,0.037443577055160784,1,0,0.0,1.0,0.008,0.008,0.008,0.004739336492890996,0,124
X_hat,0.03286604268208233,2,0,0.0,1.0,0.016,0.016,0.016,0.009478672985781991,0,123
X_hat,0.03255149535557404,3,0,0.0,1.0,0.024,0.024,0.024,0.014218009478672985,0,122
X_hat,0.03128646223649208,4,0,0.0,1.0,0.032,0.032,0.032,0.018957345971563982,0,121
X_hat,0.02955153571530705,5,0,0.0,1.0,0.04,0.04,0.04,0.023696682464454975,0,120
X_hat,0.02952672701928366,6,0,0.0,1.0,0.048,0.048,0.048,0.02843601895734597,0,119
X_hat,0.029429344631606996,7,0,0.0,1.0,0.056,0.056,0.056,0.03317535545023697,0,118
X_hat,0.02940918811361412,8,0,0.0,1.0,0.064,0.064,0.064,0.037914691943127965,0,117
X_hat,0.02928457318352041,9,0,0.0,1.0,0.072,0.072,0.072,0.04265402843601896,0,116
X_hat,0.028792406023874267,10,0,0.0,1.0,0.08,0.08,0.08,0.04739336492890995,0,115
X_hat,0.02844641825184943,11,0,0.0,1.0,0.088,0.088,0.088,0.052132701421800945,0,114
X_hat,0.02836819250693464,12,0,0.0,1.0,0.096,0.096,0.096,0.05687203791469194,0,113
X_hat,0.028255828360882744,13,0,0.0,1.0,0.104,0.104,0.104,0.061611374407582936,0,112
X_hat,0.02787592014993979,14,0,0.0,1.0,0.112,0.112,0.112,0.06635071090047394,0,111
X_hat,0.027274173546308008,15,0,0.0,1.0,0.12,0.12,0.12,0.07109004739336493,0,110
X_hat,0.027235603044293767,16,0,0.0,1.0,0.128,0.128,0.128,0.07582938388625593,0,109
X_hat,0.026541957027560768,17,0,0.0,1.0,0.136,0.136,0.136,0.08056872037914692,0,108
X_hat,0.02646438341332247,18,0,0.0,1.0,0.144,0.144,0.144,0.08530805687203792,0,107
X_hat,0.026152491965963316,19,0,0.0,1.0,0.152,0.152,0.152,0.09004739336492891,0,106
X_hat,0.026111304602496697,20,0,0.0,1.0,0.16,0.16,0.16,0.0947867298578199,0,105
X_hat,0.026031090440489537,21,0,0.0,1.0,0.168,0.168,0.168,0.0995260663507109,0,104
X_hat,0.025849087462555518,22,0,0.0,1.0,0.176,0.176,0.176,0.10426540284360189,0,103
X_hat,0.025606316071882962,23,0,0.0,1.0,0.184,0.184,0.184,0.10900473933649289,0,102
X_hat,0.02560287834673864,24,0,0.0,1.0,0.192,0.192,0.192,0.11374407582938388,0,101
X_hat,0.0255588255771708,25,0,0.0,1.0,0.2,0.2,0.2,0.11848341232227488,0,100
X_hat,0.025525239849439867,26,0,0.0,1.0,0.208,0.208,0.208,0.12322274881516587,0,99
X_hat,0.02543793024712611,27,0,0.0,1.0,0.216,0.216,0.216,0.12796208530805686,0,98
X_hat,0.02535342981688917,28,0,0.0,1.0,0.224,0.224,0.224,0.13270142180094788,0,97
X_hat,0.025300986550638463,29,0,0.0,1.0,0.232,0.232,0.232,0.13744075829383887,0,96
X_hat,0.0250817136380844,30,0,0.0,1.0,0.24,0.24,0.24,0.14218009478672985,0,95
X_hat,0.024866732518987193,31,0,0.0,1.0,0.248,0.248,0.248,0.14691943127962084,0,94
X_hat,0.02418200292120068,32,0,0.0,1.0,0.256,0.256,0.256,0.15165876777251186,0,93
X_hat,0.02367867958789995,33,0,0.0,1.0,0.264,0.264,0.264,0.15639810426540285,0,92
X_hat,0.023534764043289986,34,0,0.0,1.0,0.272,0.272,0.272,0.16113744075829384,0,91
X_hat,0.0230270582064779,35,0,0.0,1.0,0.28,0.28,0.28,0.16587677725118483,0,90
X_hat,0.022226461012062253,36,0,0.0,1.0,0.288,0.288,0.288,0.17061611374407584,0,89
X_hat,0.019913218053464552,37,0,0.0,1.0,0.296,0.296,0.296,0.17535545023696683,0,88
X_hat,0.019902743609298817,38,0,0.0,1.0,0.304,0.304,0.304,0.18009478672985782,0,87
