dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__CAL_R1_K125,CAL,R1,K125,125,200,PS-H__0449,PS 15:0_22:6,0.0013124376131369846,False,False,False,2.0066037139014721e-26,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,203,PS-H__0456,PS 17:0_18:1,0.009755795282972048,True,True,False,2.8282995246988e-05,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,206,PS-H__0463,PS 17:0_20:4,0.02543638827512826,True,True,False,0.0002857942992673876,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,211,PS-H__0480,PS 17:1_18:3,0.007305346243783044,True,True,False,7.011062509528366e-05,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,213,PS-H__0485,PS 17:1_20:4,0.01435400044729549,True,True,False,1.8968476923017987e-05,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,214,PS-H__0486,PS 17:1_20:5,0.027579231130440033,True,True,False,0.00046711870297170253,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,215,PS-H__0502,PS 17:0_17:0,0.0027970739713384196,False,False,False,2.132900132679633e-31,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,217,PS-H__0504,PS 17:1_17:1,0.026587040146345556,True,True,False,0.00021463741783620758,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,218,PE-H__0049,PE 14:0_24:0,0.005847714123188273,True,True,False,7.730756666341462e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,219,PE-H__0050,PE 14:0_24:1,0.0014701613243117669,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,220,PE-H__0051,PE 14:0_24:2,0.0030608034407698945,True,True,False,4.5710267269398663e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,221,PE-H__0052,PE 14:0_24:3,0.003240498193308248,True,True,False,3.5468197433707937e-07,D0,125,True
D0__CAL_R1_K125,CAL,R1,K125,125,223,PE-H__0054,PE 14:0_24:5,0.0050923638145512675,False,False,False,1.6357792709798465e-22,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,226,PE-H__0069,PE 16:0_22:1,0.004608216497802491,False,False,False,9.370812162847575e-24,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,227,PE-H__0070,PE 16:0_22:2,0.0024593079510261727,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,228,PE-H__0071,PE 16:0_22:3,0.002590670330460498,False,False,False,0.0,D0,125,False
D0__CAL_R1_K125,CAL,R1,K125,125,229,PE-H__0072,PE 16:0_22:4,0.0026717919239289964,False,False,False,0.0,D0,125,False
