dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:5_22:6,PA,0.003707202801767605,3.971290444816535e-23,COMPUTED,True,False,False,[113]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:5_24:5,PA,0.0026207490554530717,1.7152101062163613e-22,COMPUTED,True,False,False,[115]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 20:5_24:6,PA,0.005348057536612061,5.305115748128681e-06,COMPUTED,True,True,True,[116]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_18:1,PA,0.0016215997802414381,1.6082790882328644e-22,COMPUTED,True,False,False,[24]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_18:2,PA,0.0036907467030123224,3.7998553037046975e-07,COMPUTED,True,True,True,[36]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_18:3,PA,0.0,,NOT_COMPUTED,False,False,False,[47]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_20:1,PA,3.37378056391754e-06,,NOT_COMPUTED,False,False,False,[74]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_20:2,PA,1.2824934588657804e-05,,NOT_COMPUTED,False,False,False,[83]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_20:3,PA,0.019501872021987922,1.9152160433598193e-06,COMPUTED,True,True,True,[90]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_20:4,PA,0.0038692147104012957,0.0,COMPUTED,True,False,False,[98]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:0_20:5,PA,0.0011920439563195958,1.748472282678877e-31,COMPUTED,True,False,False,[107]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:1_18:2,PA,0.0,,NOT_COMPUTED,False,False,False,[37]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:1_18:3,PA,1.457265035225535e-09,,NOT_COMPUTED,False,False,False,[48]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:1_20:2,PA,0.021017046143147637,9.571910905817733e-06,COMPUTED,True,True,True,[84]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:1_20:3,PA,0.0020224037709401198,1.900030962046587e-22,COMPUTED,True,False,False,[91]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:1_20:4,PA,0.00035450655717975035,,NOT_COMPUTED,False,False,False,[99]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:1_20:5,PA,0.002644198560163266,4.2135743212734266e-23,COMPUTED,True,False,False,[108]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:2_18:3,PA,8.980214258817847e-06,,NOT_COMPUTED,False,False,False,[49]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:2_20:3,PA,0.0,,NOT_COMPUTED,False,False,False,[92]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:2_20:4,PA,1.4269383373116364e-05,,NOT_COMPUTED,False,False,False,[100]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:2_20:5,PA,0.0,,NOT_COMPUTED,False,False,False,[109]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:3_20:4,PA,3.564432843659098e-05,,NOT_COMPUTED,False,False,False,[101]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:3_20:5,PA,1.695659750752951e-05,,NOT_COMPUTED,False,False,False,[110]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:3_22:6,PA,7.663181446484959e-05,,NOT_COMPUTED,False,False,False,[117]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:4_20:5,PA,0.004835495913811571,3.427089955816847e-22,COMPUTED,True,False,False,[111]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:4_22:5,PA,1.407160301914603e-08,,NOT_COMPUTED,False,False,False,[118]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:4_22:6,PA,7.248394455770705e-06,,NOT_COMPUTED,False,False,False,[119]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:5_22:5,PA,0.001205611113635642,0.0,COMPUTED,True,False,False,[120]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:5_22:6,PA,0.0014348929785590265,1.914326984796069e-26,COMPUTED,True,False,False,[121]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 22:6_22:6,PA,0.011042693439539097,4.309852915983235e-06,COMPUTED,True,True,True,[122]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:0_16:1,PA,9.219380962174922e-05,,NOT_COMPUTED,False,False,False,[6]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:0_18:1,PA,2.0833010512886933e-05,,NOT_COMPUTED,False,False,False,[29]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:0_18:2,PA,0.0,,NOT_COMPUTED,False,False,False,[40]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:0_18:3,PA,5.144462279208402e-05,,NOT_COMPUTED,False,False,False,[50]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:1_18:2,PA,0.006017620769603231,1.2687646764783371e-23,COMPUTED,True,False,False,[41]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:1_18:3,PA,0.004395596543508689,2.325631078389146e-07,COMPUTED,True,True,True,[51]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:2_18:3,PA,2.952347527469626e-07,,NOT_COMPUTED,False,False,False,[52]
D0__CAL_R1_K125,D0,125,CAL,R1,PA 24:4_20:5,PA,2.0940606909194822e-05,,NOT_COMPUTED,False,False,False,[114]
