threshold,N_retained,TP,FP,FN,FDR,FDR_lower95,FDR_upper95,precision,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,all_truth_recall,reportable_truth_recall,coverage
4.8623716075880845e-21,380,361,19,14,0.05,0.03224017175577499,0.07676696611111122,0.95,361,354,14,361,19,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5314685314685315
4.7313274849397924e-21,381,361,20,14,0.05249343832020997,0.03423523837350888,0.07968559270077721,0.94750656167979,361,354,14,361,20,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5328671328671328
4.364459950768345e-21,382,361,21,14,0.0549738219895288,0.036234176593673444,0.08257487767645694,0.9450261780104712,361,354,14,361,21,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5342657342657343
4.347856769886898e-21,383,361,22,14,0.057441253263707574,0.03823603027551894,0.08543597470176878,0.9425587467362925,361,354,14,361,22,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5356643356643357
4.268044198534219e-21,384,361,23,14,0.059895833333333336,0.040239951337357166,0.08826992734411895,0.9401041666666666,361,354,14,361,23,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5370629370629371
4.174916845468323e-21,385,361,24,14,0.06233766233766234,0.04224518427336847,0.09107768458408973,0.9376623376623376,361,354,14,361,24,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5384615384615384
4.120281577743293e-21,386,361,25,14,0.06476683937823834,0.04425105341360215,0.09386011358123066,0.9352331606217616,361,354,14,361,25,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5398601398601398
4.052845785444811e-21,387,361,26,14,0.06718346253229975,0.046256952353987614,0.09661801026944392,0.9328165374677002,361,354,14,361,26,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5412587412587413
4.03728239713932e-21,388,361,27,14,0.06958762886597938,0.048262335119774416,0.09935210821855102,0.9304123711340206,361,354,14,361,27,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5426573426573427
3.982002854199397e-21,389,361,28,14,0.07197943444730077,0.050266708726147885,0.10206308609830256,0.9280205655526992,361,354,14,361,28,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.544055944055944
3.950177636129981e-21,390,361,29,14,0.07435897435897436,0.05226962687436999,0.10475157400648737,0.9256410256410257,361,354,14,361,29,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5454545454545454
3.806410945726999e-21,391,361,30,14,0.07672634271099744,0.05427068457790993,0.1074181588666836,0.9232736572890026,361,354,14,361,30,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5468531468531469
3.790508561401489e-21,392,361,31,14,0.07908163265306123,0.056269513555683194,0.11006338905853894,0.9209183673469388,361,354,14,361,31,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5482517482517483
3.7657097333412856e-21,393,361,32,14,0.08142493638676845,0.058265778262263423,0.112687778410723,0.9185750636132316,361,354,14,361,32,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5496503496503496
3.597655642144958e-21,394,361,33,14,0.08375634517766498,0.06025917245029726,0.11529180966132689,0.916243654822335,361,354,14,361,33,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.551048951048951
3.5029381124109685e-21,395,361,34,14,0.08607594936708861,0.06224941618017356,0.11787593747066556,0.9139240506329114,361,354,14,361,34,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5524475524475524
3.3223100194076037e-21,396,361,35,14,0.08838383838383838,0.0642362532076075,0.12044059105582787,0.9116161616161617,361,354,14,361,35,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5538461538461539
3.1490679129341465e-21,397,361,36,14,0.0906801007556675,0.06621944869218728,0.12298617650393247,0.9093198992443325,361,354,14,361,36,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5552447552447553
3.022680394333111e-21,398,361,37,14,0.09296482412060302,0.06819878717982907,0.12551307881115076,0.907035175879397,361,354,14,361,37,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5566433566433566
2.9876699386592817e-21,399,361,38,14,0.09523809523809523,0.07017407082004659,0.12802166368659412,0.9047619047619048,361,354,14,361,38,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.558041958041958
2.6529746902011803e-21,400,361,39,14,0.0975,0.07214511778538757,0.1305122791537211,0.9025,361,354,14,361,39,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5594405594405595
2.614877134373233e-21,401,361,40,14,0.09975062344139651,0.07411176086563467,0.13298525697667044,0.9002493765586035,361,354,14,361,40,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5608391608391609
2.575010430837251e-21,402,361,41,14,0.10199004975124377,0.07607384621366486,0.13544091393463223,0.8980099502487562,361,354,14,361,41,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5622377622377622
2.4193525924648636e-21,403,361,42,14,0.10421836228287841,0.07803123222339717,0.1378795529638327,0.8957816377171216,361,354,14,361,42,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5636363636363636
2.2891667552240078e-21,404,361,43,14,0.10643564356435643,0.07998378852318253,0.1403014641837831,0.8935643564356436,361,354,14,361,43,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5650349650349651
2.2884320864714205e-21,405,361,44,14,0.10864197530864197,0.08193139507042077,0.14270692582201372,0.891358024691358,361,354,14,361,44,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5664335664335665
2.170317715094188e-21,406,361,45,14,0.11083743842364532,0.08387394133521901,0.1450962050494829,0.8891625615763546,361,354,14,361,45,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5678321678321678
2.050912217703936e-21,407,361,46,14,0.11302211302211303,0.08581132556260719,0.14746955873715076,0.8869778869778869,361,354,14,361,46,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5692307692307692
2.0240671404102466e-21,408,361,47,14,0.11519607843137254,0.08774345410425918,0.14982723414277313,0.8848039215686274,361,354,14,361,47,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5706293706293706
1.98105061699329e-21,409,361,48,14,0.11735941320293398,0.08967024081187902,0.15216946953576171,0.882640586797066,361,354,14,361,48,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5720279720279721
1.960208892755696e-21,410,361,49,14,0.11951219512195121,0.0915916064854391,0.15449649476692762,0.8804878048780488,361,354,14,361,49,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5734265734265734
1.898413081899625e-21,411,361,50,14,0.12165450121654502,0.0935074783703316,0.15680853178905138,0.878345498783455,361,354,14,361,50,14,1.0,1.0,0,0.0,0.9626666666666667,0.9626666666666667,0.5748251748251748
