domain,lipid_name,molecular_truth,NNLS_rho,ISTA_rho,absolute_difference
CLEAN,PG 17:1_18:2,True,0.0015689316695355689,0.0015689316695355689,0.0
CLEAN,PG 17:1_20:2,True,2.1582523669187578e-07,2.1582523669187578e-07,0.0
CLEAN,PG 17:1_20:3,True,4.973609880080697e-08,4.973609880080697e-08,0.0
CLEAN,PG 18:0_17:1,True,1.6066849105487307e-06,1.6066849105487307e-06,0.0
CLEAN,PG 18:0_18:2,True,5.353327067604143e-07,5.353327067604143e-07,0.0
CLEAN,PG 18:0_18:3,True,1.7000349195552183e-07,1.7000349195552183e-07,0.0
CLEAN,PG 18:0_20:4,True,2.4569616658616507e-06,2.4569616658616507e-06,0.0
CLEAN,PG 18:1_20:3,True,3.362450992772802e-08,3.362450992772802e-08,0.0
CLEAN,PG 18:2_18:2,True,3.854766889095603e-08,3.854766889095603e-08,0.0
CLEAN,PG 18:2_20:3,True,8.274467013114422e-07,8.274467013114422e-07,0.0
CLEAN,PG 18:3_20:4,True,1.754120202516292e-06,1.754120202516292e-06,0.0
CLEAN,PG 20:0_17:1,True,6.146665166823754e-06,6.146665166823754e-06,0.0
CLEAN,PG 20:2_18:3,True,1.034660980627212e-07,1.034660980627212e-07,0.0
CLEAN,PS 14:0_20:1,True,0.00023814475119686041,0.00023814475119686041,0.0
CLEAN,PS 16:0_18:0,True,0.00016819032474636148,0.00016819032474636148,0.0
CLEAN,PS 16:0_18:2,True,3.915570835532074e-06,3.915570835532074e-06,0.0
CLEAN,PS 16:0_20:0,True,7.856529376522762e-07,7.856529376522762e-07,0.0
CLEAN,PS 16:0_20:4,True,1.0271407146944327e-06,1.0271407146944327e-06,0.0
CLEAN,PS 16:1_18:1,True,7.326043436633263e-06,7.326043436633263e-06,0.0
CLEAN,PS 16:1_20:2,True,5.136133198891674e-05,5.136133198891674e-05,0.0
CLEAN,PS 17:0_18:2,True,0.0019467473153822084,0.0019467473153822084,0.0
CLEAN,PS 18:0_18:1,True,2.636849767029295e-06,2.636849767029295e-06,0.0
CLEAN,PS 18:1_18:1,True,2.2288123011132246e-05,2.2288123011132246e-05,0.0
CLEAN,PS 18:1_18:2,True,7.914987510322835e-06,7.914987510322835e-06,0.0
CLEAN,PS 18:2_18:2,True,7.2243686319783096e-06,7.2243686319783096e-06,0.0
MILD,PA 16:0_24:0,True,4.85505181597886e-05,4.85505181597886e-05,0.0
MILD,PA 18:0_22:0,False,6.1824595780249055e-06,6.1824595780249055e-06,0.0
MILD,PA 18:0_22:1,True,2.7148736016660327e-05,2.7148736016660327e-05,0.0
MILD,PA 18:0_22:3,True,0.0,0.0,0.0
MILD,PA 18:0_22:4,False,0.0,0.0,0.0
MILD,PA 18:0_22:5,True,0.0,0.0,0.0
MILD,PA 18:0_24:0,True,3.7165958667292124e-05,3.7165958667292124e-05,0.0
MILD,PA 18:0_24:4,True,0.0,0.0,0.0
MILD,PA 18:1_22:2,True,1.090330298137343e-06,1.090330298137343e-06,0.0
MILD,PA 18:1_22:3,False,8.474893859679513e-06,8.474893859679513e-06,0.0
MILD,PA 18:1_22:4,False,0.0,0.0,0.0
MILD,PA 18:1_24:5,True,0.0,0.0,0.0
MILD,PA 18:2_22:2,True,6.917752800400272e-07,6.917752800400272e-07,0.0
MILD,PA 18:2_22:3,True,2.76889556343824e-07,2.76889556343824e-07,0.0
MILD,PA 20:0_20:0,True,0.0,0.0,0.0
MILD,PA 20:0_20:1,True,7.183856999576672e-07,7.183856999576672e-07,0.0
MILD,PA 20:1_20:2,True,9.806839998786968e-06,9.806839998786968e-06,0.0
MILD,PA 20:1_20:3,True,8.718766390187077e-07,8.718766390187077e-07,0.0
MILD,PA 20:1_20:4,True,0.0,0.0,0.0
MILD,PA 20:1_22:2,True,2.329625636972671e-05,2.329625636972671e-05,0.0
MILD,PA 20:1_22:4,True,5.420718097728402e-05,5.420718097728402e-05,0.0
MILD,PA 20:1_22:6,False,1.3358524096542611e-05,1.3358524096542611e-05,0.0
MILD,PA 20:2_20:2,True,1.7457523371189477e-06,1.7457523371189477e-06,0.0
MILD,PA 20:2_20:3,False,1.7543740552697457e-05,1.7543740552697457e-05,0.0
MILD,PA 20:2_22:4,True,1.9465127661081986e-06,1.9465127661081986e-06,0.0
MILD,PA 20:2_22:6,True,3.419002040045556e-08,3.419002040045556e-08,0.0
MILD,PA 20:3_22:3,True,3.9999303122907696e-05,3.9999303122907696e-05,0.0
MILD,PA 20:3_22:4,False,0.0,0.0,0.0
MILD,PA 20:3_22:6,True,0.0,0.0,0.0
MILD,PA 20:4_22:5,False,6.1057144497455745e-06,6.1057144497455745e-06,0.0
MILD,PA 22:0_18:1,True,1.2658698082906799e-06,1.2658698082906799e-06,0.0
MILD,PA 22:0_20:3,False,1.5317974788045981e-07,1.5317974788045981e-07,0.0
MILD,PA 22:1_20:2,False,2.4007984944727786e-07,2.4007984944727786e-07,0.0
MILD,PA 22:1_20:4,True,0.0,0.0,0.0
MILD,PA 22:2_20:4,True,1.3218154647409334e-05,1.3218154647409334e-05,0.0
MILD,PA 22:3_20:4,True,5.8004979343681166e-05,5.8004979343681166e-05,0.0
MILD,PA 22:4_22:5,True,5.563320381585912e-06,5.563320381585912e-06,0.0
