dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__CAL_R2_K125,D0,125,CAL,R2,512,PEO-H__0484,PE O-22:3_18:3,PE,0.0017719952454483317,5.5381155913534485e-28,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,513,PEO-H__0507,PE O-22:4_16:0,PE,2.5623713944508505e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,514,PEO-H__0508,PE O-22:4_16:1,PE,5.1578330096488365e-05,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,515,PEO-H__0509,PE O-22:4_18:0,PE,2.0938455226269004e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,516,PEO-H__0510,PE O-22:4_18:1,PE,0.00025551865756210117,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,517,PEO-H__0511,PE O-22:4_18:2,PE,3.466103016814905e-06,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,518,PEO-H__0512,PE O-22:4_18:3,PE,2.8948016814492813e-07,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,519,PEO-H__0535,PE O-22:5_16:0,PE,0.0011174707814091858,0.0,COMPUTED,True,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,520,PEO-H__0536,PE O-22:5_16:1,PE,0.0005035986170201286,,NOT_COMPUTED,False,False,False,False
D0__CAL_R2_K125,D0,125,CAL,R2,521,PEO-H__0537,PE O-22:5_18:0,PE,0.0064443699316707554,5.412728157149856e-08,COMPUTED,True,True,True,True
D0__CAL_R2_K125,D0,125,CAL,R2,522,PEO-H__0538,PE O-22:5_18:1,PE,0.0003661117046901635,,NOT_COMPUTED,False,False,False,False
