lipid_name,lipid_class,truth_contexts,solver_miss_contexts,miss_fraction,K_with_misses,replicates_with_misses,cone_isolation,max_fragment_cosine
PE 18:1_22:5,PE,10,0,0.0,,,0.19163429981325247,0.9256344671279978
PE 18:1_22:6,PE,10,0,0.0,,,0.3159564682544253,0.8033916799379116
PE 18:2_20:2,PE,15,0,0.0,,,0.18632332063996887,0.930785287256962
PE 18:2_22:2,PE,10,0,0.0,,,0.1271355008514916,0.9008257061441529
PE 20:0_20:5,PE,5,0,0.0,,,0.42609430792144315,0.8451414828957593
PE 20:1_18:2,PE,15,0,0.0,,,0.3477875659110764,0.8910754995054128
PE 20:1_20:3,PE,30,0,0.0,,,0.15409170574418976,0.9673598800301968
PE 20:1_20:5,PE,25,0,0.0,,,0.3973599004661181,0.7993795604865694
PE 20:3_20:3,PE,30,0,0.0,,,0.11972298568219342,0.9884825101246301
PE 20:4_20:5,PE,20,0,0.0,,,0.26664550336010406,0.7114621309435802
PE 22:0_16:1,PE,30,0,0.0,,,0.4791490094759039,0.8206488603123235
PE O-16:0_22:1,PE,5,0,0.0,,,0.25810380084870377,0.9626827699537985
PE O-16:0_22:4,PE,30,0,0.0,,,0.21233553953653375,0.9788297262879938
PE O-16:0_22:5,PE,30,0,0.0,,,0.2748935194643735,0.9595548171321114
PE O-16:0_22:6,PE,10,0,0.0,,,0.48470573742722234,0.900438885889574
PE O-16:1_22:1,PE,5,0,0.0,,,0.3096547237703799,0.9753848425333608
PE O-16:1_22:3,PE,10,0,0.0,,,0.15301712497872955,0.978974472761994
PE O-16:1_24:0,PE,30,0,0.0,,,0.6719956962672089,0.7350890401757907
PE O-16:1_24:5,PE,30,0,0.0,,,0.34567378912555613,0.9348240213453116
PE O-16:1_24:6,PE,10,0,0.0,,,0.41848831684391674,0.9120817497666402
PE O-18:0_20:1,PE,20,0,0.0,,,0.318148671588633,0.9846847840318518
PE O-18:0_20:5,PE,20,0,0.0,,,0.6919909071159304,0.9215313010613547
PE O-18:0_22:4,PE,20,0,0.0,,,0.29140314574818993,0.9785214888337301
PE O-18:0_22:5,PE,5,0,0.0,,,0.43559350264218133,0.9521162343234528
PE O-18:0_22:6,PE,20,0,0.0,,,0.5753436233533816,0.900438885889574
PE O-18:1_20:5,PE,25,0,0.0,,,0.5577857427715306,0.9215313010613547
PE O-18:2_20:3,PE,20,0,0.0,,,0.15389249231375365,0.982213995160686
PE O-18:2_22:5,PE,15,0,0.0,,,0.26103860623460656,0.9522818262826038
PE O-18:3_20:3,PE,30,0,0.0,,,0.14272429629361114,0.9852235586914223
PE O-18:3_22:3,PE,20,0,0.0,,,0.12439321564387905,0.986523537683374
PE O-18:3_22:5,PE,30,0,0.0,,,0.24245622912169137,0.9538166594574129
PE O-20:0_20:4,PE,25,0,0.0,,,0.526269032993801,0.9845400250879618
PE O-20:1_18:2,PE,30,0,0.0,,,0.4351737905876049,0.9895861653945057
PE O-20:1_20:1,PE,5,0,0.0,,,0.300364327002164,0.9853143544809311
PE O-20:1_20:2,PE,25,0,0.0,,,0.1653451175229508,0.9857697500316058
PE O-20:1_20:3,PE,15,0,0.0,,,0.20156572631951045,0.9834038435158862
PE O-20:3_20:3,PE,15,0,0.0,,,0.1678765453740962,0.9829060245747678
PE O-20:3_20:4,PE,30,0,0.0,,,0.2145730867610224,0.9824124426110163
PE O-22:1_18:2,PE,30,0,0.0,,,0.3303710154344505,0.9888056550432852
PG 14:0_20:0,PG,30,0,0.0,,,0.7233219574944608,0.7740328453451822
PG 14:0_22:0,PG,30,0,0.0,,,0.39347230654553556,0.7936099239641267
PG 14:0_22:5,PG,15,0,0.0,,,0.3916326572569566,0.8740294125875786
PG 14:0_24:4,PG,15,0,0.0,,,0.2364766144017557,0.9336814199983869
PG 16:0_18:0,PG,25,0,0.0,,,0.2730282086736678,0.7320003904966144
PG 16:0_20:2,PG,25,0,0.0,,,0.06404391649487126,0.9219327136957365
PG 16:0_20:5,PG,20,0,0.0,,,0.3586980333079263,0.7784577318028689
PG 16:0_22:4,PG,30,0,0.0,,,0.20371874124768685,0.9923755383909935
PG 16:0_22:6,PG,20,0,0.0,,,0.42771565508602566,0.9755490303044848
PG 16:1_22:3,PG,30,0,0.0,,,0.23838939494724698,0.9816952449555878
PG 16:1_22:5,PG,20,0,0.0,,,0.33527002658239174,0.9821921171688058
PG 17:0_18:0,PG,10,0,0.0,,,0.5692674122568047,0.7118582510946688
PG 17:0_18:2,PG,30,0,0.0,,,0.3764851143957298,0.9263229165510191
PG 17:0_20:0,PG,15,0,0.0,,,0.8310149974793403,0.9206618024583055
PG 17:0_20:1,PG,5,0,0.0,,,0.7656382983426151,0.9467690930810565
PG 17:0_20:3,PG,20,0,0.0,,,0.15645235358917814,0.9898819477902964
PG 18:0_18:0,PG,10,0,0.0,,,0.27746580180873914,0.8568501347183278
PG 18:0_18:1,PG,30,0,0.0,,,0.22385302590484416,0.857321011866293
PG 18:1_18:1,PG,20,0,0.0,,,0.20074680321951024,0.9552207873236039
PG 18:1_18:2,PG,5,0,0.0,,,0.18514361914509317,0.8693484458976806
PG 18:1_20:5,PG,10,0,0.0,,,0.43403628582268905,0.9724669479844656
PG 18:2_20:2,PG,30,0,0.0,,,0.26810270421335247,0.9325718345250835
PG 18:2_20:5,PG,10,0,0.0,,,0.45600375389372205,0.9631467226016989
PG 20:0_16:1,PG,5,0,0.0,,,0.27509463736924117,0.8206488603123235
PG 20:1_18:3,PG,30,0,0.0,,,0.23811465068961957,0.9659907277452849
PS 14:0_20:0,PS,25,0,0.0,,,0.6390062445975,0.6039215648852556
PS 14:0_22:0,PS,5,0,0.0,,,0.755911282254363,0.4966771953016806
PS 14:0_22:2,PS,20,0,0.0,,,0.4826107446087538,0.6351598729298585
PS 14:0_22:4,PS,10,0,0.0,,,0.3282929959935041,0.543623575220217
PS 16:0_20:5,PS,20,0,0.0,,,0.4925110672748304,0.5885323920958705
PS 16:1_20:1,PS,15,0,0.0,,,0.4129541991564398,0.5415506422933887
PS 16:1_20:3,PS,5,0,0.0,,,0.34984059386853866,0.5074650921831881
PS 16:1_20:4,PS,30,0,0.0,,,0.6316414058973379,0.55604981646135
PS 17:0_18:1,PS,30,0,0.0,,,0.6537549379034493,0.5358578664393875
PS 18:0_16:1,PS,15,0,0.0,,,0.4974005788167513,0.5669019742880855
PS 18:0_17:1,PS,10,0,0.0,,,0.5700329198506149,0.552158066910196
PS 18:0_18:0,PS,20,0,0.0,,,0.4331045541325963,0.7822407069839156
PS 18:0_18:3,PS,30,0,0.0,,,0.5738266720137706,0.6379581944357362
PS 18:1_18:3,PS,30,0,0.0,,,0.6381277857367744,0.5253007492314473
PS 20:0_16:1,PS,25,0,0.0,,,0.49681824282241865,0.5478869149773706
