dataset,lipid_name,lipid_class,X_hat,reported_candidate_indices,rho_zero,retained_by_legacy_rho,joint_score,retained_by_joint_pool,retained_by_joint_dev5,retained_by_joint_dev1,molecular_truth
ISTA_FULL,PG 14:0_22:1,PG,0.027349346025652994,[298],0.00013441678370542176,False,0.979519411763291,True,True,True,
ISTA_FULL,PG 16:0_20:1,PG,0.002688533754090185,[299],0.0,False,0.22303080163330274,False,False,False,
ISTA_FULL,PG 14:0_22:0,PG,0.0077394994338569065,[302],0.00012501860153572424,False,0.9033764358170795,True,True,False,
ISTA_FULL,PG 16:0_22:6,PG,0.004921008444491788,[308],0.00021740297484383028,False,0.4669156252780071,False,False,False,
ISTA_FULL,PG 16:1_22:4,PG,0.004930928360130924,[313],2.8311063452497585e-07,False,0.7101867095827207,True,False,False,
ISTA_FULL,PG 16:0_22:4,PG,0.01505433904952393,[319],6.420630489332761e-05,False,0.9729290017517265,True,True,True,
ISTA_FULL,PG 18:0_20:4,PG,0.0027067653831285873,[321],0.0,False,0.21759027884087098,False,False,False,
ISTA_FULL,PG 18:2_20:2,PG,0.0021282280458019428,[323],0.0,False,0.08259604507114669,False,False,False,
ISTA_FULL,PG 17:0_20:1,PG,0.004877012592005975,[329],8.518268395036036e-06,False,0.7312257025973047,True,False,False,
ISTA_FULL,PG 17:1_20:1,PG,0.0025246432852639067,[338],0.0,False,0.17406360526221573,False,False,False,
ISTA_FULL,PG 17:1_20:2,PG,0.001027884660910343,[339],0.0,False,0.002317892033527966,False,False,False,
ISTA_FULL,PC 14:0_18:0,PC,0.013064874170262345,[355],0.0002542093841047771,False,0.9408406095764477,True,True,False,
ISTA_FULL,PC O-16:1_16:1,PC,0.005480474190915677,[349],7.72443565550052e-05,False,0.7674107366959951,True,False,False,
ISTA_FULL,PC 14:1_17:1,PC,0.0014836530613080638,[375],2.7373928298844608e-06,False,0.015288622618421963,False,False,False,
ISTA_FULL,PC 14:1_20:1,PC,0.0010918874494828912,[378],0.0,False,0.0031661377409713328,False,False,False,
ISTA_FULL,PC 16:0_18:0,PC,0.0029140906919341543,[381],0.0,False,0.2733314382923654,False,False,False,
ISTA_FULL,PC 16:0_18:1,PC,0.04736858283734614,[382],0.00014990294742948563,False,0.9477904614485442,True,True,False,
ISTA_FULL,PC 18:0_16:1,PC,0.0010720296356095517,[385],0.0,False,0.0028595176421202613,False,False,False,
ISTA_FULL,PC 17:0_17:1,PC,0.0010813103441311062,[389],0.00017337138947159944,False,0.0022870575889049455,False,False,False,
ISTA_PARTIAL_4500,PA 20:1_20:1,PA,0.0014089837261966648,[47],0.0,False,0.01270277318452186,False,False,False,
ISTA_PARTIAL_4500,PS 14:0_22:0,PS,0.005009698658239446,[84],0.0001458934024469743,False,0.6608462592108161,True,False,False,
ISTA_PARTIAL_4500,PS 14:0_22:1,PS,0.0077648070350166765,[85],0.0005741889725840205,False,0.8349007753191471,True,True,False,
ISTA_PARTIAL_4500,PS 14:0_22:2,PS,0.002372001443061385,[86],1.3972007457499058e-06,False,0.13466989111521727,False,False,False,
ISTA_PARTIAL_4500,PS 16:0_18:1,PS,0.012980764442061223,[90],8.176961300049885e-05,False,0.9736591294575344,True,True,True,
ISTA_PARTIAL_4500,PS 16:0_20:2,PS,0.0016608051139022184,[94],0.0,False,0.03015034888514217,False,False,False,
ISTA_PARTIAL_4500,PS 16:1_20:1,PS,0.002786077289994965,[101],7.000445449792729e-05,False,0.2983064441395155,False,False,False,
ISTA_PARTIAL_4500,PS 18:0_18:1,PS,0.07982133256224916,[106],0.002585842751012908,True,0.9916790991416524,True,True,True,
ISTA_PARTIAL_4500,PS 18:1_18:1,PS,0.04118742393589168,[109],0.005087623636312783,True,0.9997003341606264,True,True,True,
ISTA_PARTIAL_4500,PE 16:0_22:4,PE,0.023122842080683364,[119],0.0006480872765251761,False,0.8075954540951356,True,True,False,
ISTA_PARTIAL_4500,PE 16:0_22:6,PE,0.05764235578932696,[121],0.0001738179233929324,False,0.9897621620505096,True,True,True,
ISTA_PARTIAL_4500,PE 18:0_20:1,PE,0.0028801655632317608,[133],0.0,False,0.2640384956338231,False,False,False,
ISTA_PARTIAL_4500,PE 18:0_20:4,PE,0.10010097424013333,[136],0.0,False,0.4744531145601222,False,False,False,
ISTA_PARTIAL_4500,PE 18:0_22:4,PE,0.025838141079558733,[139],0.0,False,0.9776822448827155,True,True,True,
ISTA_PARTIAL_4500,PE 18:0_22:6,PE,0.2384936099171949,[141],0.03246030453851104,True,0.9999999999752673,True,True,True,
ISTA_PARTIAL_4500,PE 18:1_20:1,PE,0.005107163403946389,[143],0.0,False,0.7342244752680834,True,False,False,
ISTA_PARTIAL_4500,PE 18:1_20:3,PE,0.004744929881488336,[145],0.0001323858269762327,False,0.0677070013458016,False,False,False,
ISTA_PARTIAL_4500,PE 18:1_20:4,PE,0.0296047561774095,[146],0.00036860569993070117,False,0.9789615333506478,True,True,True,
ISTA_PARTIAL_4500,PE 18:1_22:6,PE,0.04233610768132429,[152],7.161433365746296e-05,False,0.9702066508091942,True,True,True,
ISTA_PARTIAL_4500,PE 20:1_18:2,PE,0.0012172465778798798,[154],0.0,False,0.005819045104057773,False,False,False,
ISTA_PARTIAL_4500,PE 18:2_22:6,PE,0.0031169214219751717,[164],0.0004130139298274248,False,0.47352341654617475,False,False,False,
ISTA_PARTIAL_4500,PE 20:1_18:3,PE,0.0023664905180990495,[166],0.0010242920961881655,True,0.39790535221798645,False,False,False,
ISTA_PARTIAL_4500,PE 20:0_20:4,PE,0.014614030755922108,[171],6.51537327126405e-05,False,0.9982714506123461,True,True,True,
