selected_pair_order,matched_pair_id,pair_ambiguity_score,rank_feature_distance,matched_within_lipid_class,cal_candidate_index,cal_candidate_id,cal_lipid_name,cal_lipid_class,hold_candidate_index,hold_candidate_id,hold_lipid_name,hold_lipid_class
87,124,0.5959239130434781,0.1314779391674233,True,244,PEO-H__0159,PE O-18:1_22:4,PE,269,PEO-H__0263,PE O-20:1_20:2,PE
88,125,0.5961956521739131,0.20505053782514646,True,342,PG-H__0502,PG 17:0_17:0,PG,323,PG-H__0104,PG 18:2_20:2,PG
89,127,0.5995923913043479,0.11462270905041773,True,312,PG-H__0093,PG 16:0_22:5,PG,314,PG-H__0095,PG 18:0_20:5,PG
90,128,0.6002717391304347,0.07878091855610991,True,241,PEO-H__0156,PE O-18:1_22:1,PE,238,PEO-H__0152,PE O-18:1_20:3,PE
91,130,0.6061141304347826,0.20708857422758592,True,191,PE-H__0464,PE 17:0_20:5,PE,253,PEO-H__0427,PE O-22:1_18:2,PE
92,131,0.6067934782608695,0.43067008829583353,True,198,PE-H__0481,PE 20:0_17:1,PE,137,PE-H__0116,PE 18:0_20:5,PE
93,132,0.6073369565217391,0.09263076385358324,True,171,PE-H__0201,PE 20:0_20:4,PE,257,PEO-H__0188,PE O-18:2_22:5,PE
94,134,0.6111413043478261,0.05611922942408529,True,262,PEO-H__0215,PE O-18:3_22:4,PE,217,PEO-H__0102,PE O-16:1_22:3,PE
95,135,0.6152173913043477,0.0794575625935513,True,293,PG-H__0068,PG 14:0_22:2,PG,288,PG-H__0062,PG 14:0_22:3,PG
96,137,0.6195652173913044,0.04506283682548093,True,150,PE-H__0144,PE 18:1_22:4,PE,205,PE-H__0491,PE 17:1_22:4,PE
97,138,0.6199728260869566,0.03429192789164122,True,44,PA-H__0207,PA 20:0_22:4,PA,24,PA-H__0152,PA 18:1_24:5,PA
98,140,0.6225543478260869,0.22769404259254591,True,285,PG-H__0058,PG 16:1_20:3,PG,283,PG-H__0056,PG 14:0_22:4,PG
99,141,0.6243206521739131,0.31091576218768424,True,127,PE-H__0095,PE 16:1_22:2,PE,168,PE-H__0187,PE 18:3_22:4,PE
100,142,0.6293478260869565,0.3347027537455276,True,330,PG-H__0461,PG 17:0_20:2,PG,331,PG-H__0462,PG 17:0_20:3,PG
101,144,0.6347826086956522,0.20688790479684577,True,232,PEO-H__0130,PE O-18:0_22:3,PE,189,PE-H__0462,PE 17:0_20:3,PE
