member_a_index,member_a_lipid_name,member_a_class,member_b_index,member_b_lipid_name,member_b_class,rank_feature_distance,matched_within_lipid_class,pair_ambiguity_score,matched_pair_id,selected_for_high129,selected_for_base76
208,PE O-16:0_22:1,PE,224,PE O-16:1_24:6,PE,0.7801504549739301,True,0.4729619565217391,70,True,True
165,PE 20:0_18:3,PE,172,PE 20:0_20:5,PE,0.14832825113600637,True,0.47364130434782603,71,True,False
37,PA 20:0_20:2,PA,43,PA 20:0_22:3,PA,0.15570557325760137,True,0.4748641304347826,72,True,True
126,PE 16:1_22:1,PE,183,PE 20:3_20:5,PE,0.14557712213020513,True,0.4801630434782609,73,False,False
252,PE O-18:2_22:0,PE,267,PE O-20:0_20:4,PE,0.35074617075546516,True,0.48057065217391304,74,True,True
305,PG 16:1_22:6,PG,306,PG 18:2_20:5,PG,0.4184782608695653,True,0.483695652173913,75,True,False
17,PA 18:1_22:1,PA,60,PA 22:1_20:2,PA,0.13324226100658698,True,0.4851902173913044,76,False,False
95,PS 16:0_20:3,PS,96,PS 16:0_20:4,PS,0.25478713570878003,True,0.4862771739130435,77,True,True
286,PG 18:1_18:3,PG,292,PG 18:1_18:2,PG,0.25800911367822027,True,0.48641304347826086,78,True,False
215,PE O-16:1_22:1,PE,271,PE O-20:1_20:4,PE,0.0955444211508107,True,0.4941576086956522,79,False,False
155,PE 18:2_20:2,PE,185,PE 20:4_20:5,PE,0.5396143214395319,True,0.49769021739130437,80,True,True
153,PE 20:0_18:2,PE,158,PE 18:2_20:5,PE,0.09586269446936214,True,0.4978260869565218,81,True,False
316,PG 18:2_20:3,PG,327,PG 17:0_18:2,PG,0.29449238530856087,True,0.4990489130434783,82,True,True
47,PA 20:1_20:1,PA,58,PA 20:2_20:2,PA,0.2505200462965156,True,0.4993206521739131,83,False,False
67,PA 20:3_22:6,PA,75,PA 22:1_20:5,PA,0.24146969095383042,True,0.5033967391304348,84,True,True
32,PA 18:2_24:4,PA,42,PA 20:0_22:2,PA,0.029643239441944875,True,0.5059782608695652,85,True,False
56,PA 20:1_22:5,PA,80,PA 22:5_22:6,PA,0.12488918764997813,True,0.5082880434782608,86,False,False
136,PE 18:0_20:4,PE,212,PE O-16:0_22:5,PE,0.16255020490992034,True,0.5134510869565216,87,True,True
307,PG 18:3_20:4,PG,309,PG 16:1_22:5,PG,0.17210442884529834,True,0.5172554347826087,88,True,False
222,PE O-16:1_24:4,PE,223,PE O-16:1_24:5,PE,0.15302074157935966,True,0.5249999999999999,89,False,False
279,PG 14:0_22:5,PG,281,PG 16:1_20:4,PG,0.1966685556817634,True,0.5255434782608697,90,True,True
219,PE O-16:1_22:5,PE,263,PE O-18:3_22:5,PE,0.09062612035680594,True,0.5267663043478261,91,True,True
140,PE 18:0_22:5,PE,196,PE 17:0_22:5,PE,0.07899153181385125,True,0.529891304347826,92,True,False
278,PG 16:0_18:0,PG,317,PG 20:2_18:3,PG,0.09386807309465149,True,0.5302989130434783,93,False,False
19,PA 18:1_22:3,PA,50,PA 20:1_20:4,PA,0.10920397444244632,True,0.5307065217391305,94,True,True
225,PE O-18:0_20:1,PE,245,PE O-18:1_22:5,PE,0.2828111210657878,True,0.5391304347826087,95,True,False
53,PA 20:1_22:2,PA,54,PA 20:1_22:3,PA,0.08080527554999596,True,0.5512228260869565,96,False,False
280,PG 16:0_20:5,PG,290,PG 16:1_20:2,PG,1.440405801867939,True,0.5513586956521739,97,True,True
27,PA 22:1_18:2,PA,49,PA 20:1_20:3,PA,0.23004928275322686,True,0.5521739130434782,98,True,True
230,PE O-18:0_22:1,PE,270,PE O-20:1_20:3,PE,0.08933359336020522,True,0.5542119565217392,99,False,False
142,PE 20:0_18:1,PE,147,PE 18:1_20:5,PE,0.11783111302050985,True,0.5566576086956522,100,True,False
