scope,score,threshold,n_retained,TP,FP,precision,FDR,all_truth_recall,reportable_truth_recall,coverage
POOLED,rho_zero,2.0867805186968535e-07,165,165,0,1.0,0.0,0.4024390243902439,0.5124223602484472,0.32608695652173914
POOLED,rho_zero,2.068648031695798e-07,166,166,0,1.0,0.0,0.40487804878048783,0.515527950310559,0.32806324110671936
POOLED,rho_zero,1.9648478208075475e-07,167,167,0,1.0,0.0,0.4073170731707317,0.5186335403726708,0.3300395256916996
POOLED,rho_zero,1.9026066701232853e-07,168,168,0,1.0,0.0,0.4097560975609756,0.5217391304347826,0.33201581027667987
POOLED,rho_zero,1.7682693903630435e-07,169,169,0,1.0,0.0,0.4121951219512195,0.5248447204968945,0.3339920948616601
POOLED,rho_zero,1.7463926065507323e-07,170,170,0,1.0,0.0,0.4146341463414634,0.5279503105590062,0.3359683794466403
POOLED,rho_zero,1.6455602118971945e-07,171,171,0,1.0,0.0,0.4170731707317073,0.531055900621118,0.33794466403162055
POOLED,rho_zero,1.517187609861193e-07,172,172,0,1.0,0.0,0.4195121951219512,0.5341614906832298,0.33992094861660077
POOLED,rho_zero,1.4889608437270114e-07,173,173,0,1.0,0.0,0.4219512195121951,0.5372670807453416,0.34189723320158105
POOLED,rho_zero,1.4843489829104943e-07,174,174,0,1.0,0.0,0.424390243902439,0.5403726708074534,0.3438735177865613
POOLED,rho_zero,1.4255932472666738e-07,175,175,0,1.0,0.0,0.4268292682926829,0.5434782608695652,0.3458498023715415
POOLED,rho_zero,1.3937003073799478e-07,176,176,0,1.0,0.0,0.4292682926829268,0.546583850931677,0.34782608695652173
POOLED,rho_zero,1.3578073461783243e-07,177,177,0,1.0,0.0,0.4317073170731707,0.5496894409937888,0.34980237154150196
POOLED,rho_zero,1.290216292821054e-07,178,178,0,1.0,0.0,0.43414634146341463,0.5527950310559007,0.35177865612648224
POOLED,rho_zero,1.289124948807332e-07,179,179,0,1.0,0.0,0.43658536585365854,0.5559006211180124,0.35375494071146246
POOLED,rho_zero,1.2353461108351471e-07,180,180,0,1.0,0.0,0.43902439024390244,0.5590062111801242,0.3557312252964427
POOLED,rho_zero,1.1460970126938081e-07,181,181,0,1.0,0.0,0.44146341463414634,0.562111801242236,0.3577075098814229
POOLED,rho_zero,1.1198598353030054e-07,182,182,0,1.0,0.0,0.44390243902439025,0.5652173913043478,0.35968379446640314
POOLED,rho_zero,1.1055633504279024e-07,183,183,0,1.0,0.0,0.44634146341463415,0.5683229813664596,0.3616600790513834
POOLED,rho_zero,1.0738275023617122e-07,184,184,0,1.0,0.0,0.44878048780487806,0.5714285714285714,0.36363636363636365
POOLED,rho_zero,1.0527893886017056e-07,185,185,0,1.0,0.0,0.45121951219512196,0.5745341614906833,0.36561264822134387
POOLED,rho_zero,1.0229121198867987e-07,186,186,0,1.0,0.0,0.45365853658536587,0.577639751552795,0.3675889328063241
POOLED,rho_zero,9.585392726399118e-08,187,187,0,1.0,0.0,0.4560975609756098,0.5807453416149069,0.3695652173913043
POOLED,rho_zero,9.566021984602198e-08,188,188,0,1.0,0.0,0.4585365853658537,0.5838509316770186,0.3715415019762846
POOLED,rho_zero,9.454834598551971e-08,189,189,0,1.0,0.0,0.4609756097560976,0.5869565217391305,0.37351778656126483
POOLED,rho_zero,9.197694280997885e-08,190,190,0,1.0,0.0,0.4634146341463415,0.5900621118012422,0.37549407114624506
POOLED,rho_zero,8.982727153406986e-08,191,191,0,1.0,0.0,0.4658536585365854,0.593167701863354,0.3774703557312253
POOLED,rho_zero,8.790360076986773e-08,192,192,0,1.0,0.0,0.4682926829268293,0.5962732919254659,0.3794466403162055
POOLED,rho_zero,8.54880181347813e-08,193,193,0,1.0,0.0,0.47073170731707314,0.5993788819875776,0.3814229249011858
POOLED,rho_zero,8.31466462037204e-08,194,194,0,1.0,0.0,0.47317073170731705,0.6024844720496895,0.383399209486166
POOLED,rho_zero,8.025457154481633e-08,195,195,0,1.0,0.0,0.47560975609756095,0.6055900621118012,0.38537549407114624
POOLED,rho_zero,7.837818678442882e-08,196,196,0,1.0,0.0,0.47804878048780486,0.6086956521739131,0.38735177865612647
POOLED,rho_zero,7.27785467078585e-08,197,197,0,1.0,0.0,0.48048780487804876,0.6118012422360248,0.3893280632411067
