case_id,synthetic_group,ce29_group,metric,ce29_n,ce29_median,ce29_q25,ce29_q75,ce29_IQR,ce29_minimum,ce29_maximum,v58_n,v58_median,v58_q25,v58_q75,v58_IQR,v58_minimum,v58_maximum,cliffs_delta,wasserstein_distance,ks_statistic,independent_sample_claim,comparison_unit
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,delta_residual_absorption,30,7.204290358640522e-15,-2.1516726987871477e-15,0.01442164084786439,0.01442164084786654,-3.983563204151483e-14,0.2782086868650666,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,-0.1431818181818182,0.026823086925871154,0.23863636363636365,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,shared_fragment_fraction,38,0.3333333333333333,0.17168008493320358,0.5114708835341365,0.3397907986009329,0.04142011834319527,0.7818181818181819,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,-0.12899050905953408,0.0452942408461544,0.17773943054357205,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,top_replacement_fraction,38,0.1997991333987677,0.1388398286195667,0.25964988519625537,0.12081005657668867,0.0,0.789981057894863,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,-0.551337359792925,0.11746744450819784,0.6138912855910268,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,ISTA_RETAINED,removed_vs_positive_replacement_signal_cosine,38,0.6704657350637847,0.2418252766684998,0.8293629820759783,0.5875377054074784,0.0,0.9911008662827991,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,-0.3999137187230371,0.19999914883668202,0.4460742018981881,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,nearest_neighbor_cosine_full,49,0.8285086731249721,0.6068571073545016,0.9190388010344148,0.3121816936799132,0.35029453455577125,0.9917278075392152,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.005352960856473737,0.03168721776087464,0.15874874539979927,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,redistribution_total,49,0.02427539133281268,0.013399259238015729,0.048859383655111395,0.035460124417095666,0.0,0.7491218819156467,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.2546002007360321,0.06971102633897373,0.41468718634994983,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,residual_absorption,43,6.487840048681334e-17,-1.151545467917284e-16,8.937601115762911e-16,1.0089146583680196e-15,-7.750541853720814e-16,1.5772631421314737e-15,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.35042283298097254,3.180706722802115e-05,0.5227272727272727,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,delta_residual_absorption,43,1.4496508243129625e-14,-1.011700174096723e-15,0.03235889508163625,0.032358895081637265,-7.539735408887848e-14,0.3705187260117899,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,-0.21405919661733616,0.04974044452029055,0.30391120507399577,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,shared_fragment_fraction,49,0.3088235294117647,0.13385826771653545,0.4854368932038835,0.3515786254873481,0.04142011834319527,0.7818181818181819,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,-0.05587152893944463,0.028786483860655087,0.12027433924389427,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,top_replacement_fraction,49,0.20190846136365317,0.16350006050444185,0.26251229306104124,0.09901223255659938,0.0,0.789981057894863,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,-0.687186349949816,0.13444359427646474,0.6933757109401137,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,NNLS_RETAINED,removed_vs_positive_replacement_signal_cosine,49,0.7249729279410856,0.5259250284017524,0.8847043281917074,0.35877929978995504,0.0,0.9911008662827991,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,-0.5406490465038475,0.2706795798525707,0.4852793576446972,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,nearest_neighbor_cosine_full,15,0.9200954054984644,0.66019521765785,0.9551848218178239,0.2949896041599739,0.34951448932644835,0.9720951633313468,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.11639344262295082,0.060182423266305046,0.2710382513661202,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,redistribution_total,15,0.0,0.0,0.0033634220040290883,0.0033634220040290883,0.0,0.0512064690436053,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.5759562841530055,0.10464324609321703,0.6546448087431694,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,residual_absorption,7,0.0,-2.919368065615039e-17,1.3909924646820471e-16,1.682929271243551e-16,-1.577211244812648e-16,1.1480809479358117e-15,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.3116883116883117,3.180706722818368e-05,0.6136363636363636,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,delta_residual_absorption,7,1.0387185061566475e-15,-1.5715737406675735e-15,0.3982020600708564,0.39820206007085795,-1.3005721628900825e-14,0.8482646459708759,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,-0.23376623376623376,0.23091717989474428,0.3944805194805195,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,shared_fragment_fraction,15,0.2222222222222222,0.11993927125506072,0.4452380952380952,0.3252988239830345,0.03508771929824561,0.5476190476190477,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,0.09890710382513661,0.04068694433755424,0.1377049180327869,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,top_replacement_fraction,15,0.0,0.0,0.26951402930083224,0.26951402930083224,0.0,0.4867548223237831,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,-0.06120218579234973,0.10094067478624462,0.3765027322404372,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,BOTH_REJECTED,removed_vs_positive_replacement_signal_cosine,15,0.0,0.0,0.2519985442857515,0.2519985442857515,0.0,0.8399614763180515,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,0.36065573770491804,0.18988562689933616,0.4546448087431694,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,nearest_neighbor_cosine_full,1,0.9098349737758341,0.9098349737758341,0.9098349737758341,0.0,0.9098349737758341,0.9098349737758341,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,-0.4262295081967213,0.1488707293955109,0.7131147540983607,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,redistribution_total,1,0.018259984243626008,0.018259984243626008,0.018259984243626008,0.0,0.018259984243626008,0.018259984243626008,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.39344262295081966,0.10170104600188044,0.6967213114754098,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,residual_absorption,1,2.445048697294338e-16,2.445048697294338e-16,2.445048697294338e-16,0.0,2.445048697294338e-16,2.445048697294338e-16,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.3409090909090909,3.180706722848807e-05,0.6704545454545454,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,delta_residual_absorption,1,-2.3959462679758682e-15,-2.3959462679758682e-15,-2.3959462679758682e-15,0.0,-2.3959462679758682e-15,-2.3959462679758682e-15,88,1.8690782067228082e-14,-3.30559707227771e-14,7.310568726740146e-05,7.310568730045743e-05,-0.0020793547270021823,0.09324474826221422,0.3181818181818182,0.004082759040650471,0.6590909090909091,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,shared_fragment_fraction,1,0.06329113924050633,0.06329113924050633,0.06329113924050633,0.0,0.06329113924050633,0.06329113924050633,122,0.25952591936198494,0.14988538176688415,0.44557149925779316,0.295686117490909,0.0,0.7901234567901234,0.8852459016393442,0.24387684310250946,0.9426229508196722,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,top_replacement_fraction,1,0.25088494234567743,0.25088494234567743,0.25088494234567743,0.0,0.25088494234567743,0.25088494234567743,122,0.0855072586645309,0.0,0.12468619091100697,0.12468619091100697,0.0,0.3616012084100406,-0.9508196721311475,0.16762299482539122,0.9754098360655737,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,WEAK_CONSISTENCY,removed_vs_positive_replacement_signal_cosine,1,0.5521212862720195,0.5521212862720195,0.5521212862720195,0.0,0.5521212862720195,0.5521212862720195,122,0.4078804088860196,0.0,0.5618063098025685,0.5618063098025685,0.0,0.8921207546675207,-0.45901639344262296,0.2515055196275393,0.7295081967213115,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,nearest_neighbor_cosine_full,1,0.35029453455577125,0.35029453455577125,0.35029453455577125,0.0,0.35029453455577125,0.35029453455577125,122,0.7907086274930879,0.6781569206869437,0.9206135912565078,0.2424566705695641,0.42497147438451643,0.9852489893575547,1.0,0.4374719503224589,1.0,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,redistribution_total,1,0.011573542842495971,0.011573542842495971,0.011573542842495971,0.0,0.011573542842495971,0.011573542842495971,122,0.0776671392924084,0.0,0.1669063835196049,0.1669063835196049,0.0,0.4153997902418326,0.4098360655737705,0.10433369341130411,0.7049180327868853,False,one molecular identity within one specimen/case
V58_MILD_CAL_R1_K125,TP,STRONG_CONSISTENCY,residual_absorption,1,-1.1081255182925296e-16,-1.1081255182925296e-16,-1.1081255182925296e-16,0.0,-1.1081255182925296e-16,-1.1081255182925296e-16,88,-9.12604131768237e-16,-3.410592892249863e-15,8.179005460560037e-16,4.228493438305867e-15,-0.0027990219158737367,5.396966446673718e-15,-0.22727272727272727,3.180706722838816e-05,0.6136363636363636,False,one molecular identity within one specimen/case
