source_identity,replacement_identity,replacement_gain,replacement_fraction,delta_residual_absorption,edge_presence_fraction,top_replacement_consistency,stable_edge,presence_persistent_edge
PS 14:0_22:1,PE O-20:1_18:2,0.0,0.0,-0.00233087309467608,0.015625,0.0,False,False
PS 14:0_22:1,PE O-18:2_22:4,0.0,0.0,0.004534056838738042,0.203125,0.0,False,False
PS 14:0_22:1,PE O-18:2_22:5,1.1855017577693493e-05,0.0002606500819433295,-3.621376817326691e-16,0.46875,0.0,False,False
PS 14:0_22:1,PE O-18:2_22:6,0.00018736673519777897,0.004119534582103668,4.766465989400728e-16,0.625,0.0,False,False
PS 14:0_22:1,PE O-18:3_22:0,7.346875943648953e-05,0.0016153192554878946,-3.012644311630449e-16,0.890625,0.0,False,False
PS 14:0_22:1,PE O-18:3_22:6,0.0001954804213439602,0.004297925963221811,1.1978201407203347e-15,0.578125,0.0,False,False
PS 14:0_22:1,PE O-20:0_20:4,6.478754318821073e-05,0.0014244498863239669,9.442710567718018e-15,0.71875,0.0,False,False
PS 14:0_22:1,PE O-20:1_20:4,0.00017510907056024483,0.0038500317094787642,1.075815154440663e-14,0.59375,0.0,False,False
PS 14:0_22:1,PE O-20:2_20:4,0.00029940175268352784,0.006582790017770792,1.0661478101888416e-14,0.65625,0.0,False,False
PS 14:0_22:1,PE O-20:3_20:4,0.0012378711410225632,0.027216426481721734,1.1348143877422203e-14,0.8125,0.0,False,False
PS 14:0_22:1,PG 14:0_20:0,0.0,0.0,3.086312576651013e-16,0.1875,0.0,False,False
PS 14:0_22:1,PG 14:0_22:4,0.0,0.0,0.009530587775898776,0.375,0.125,False,False
PS 14:0_22:1,PG 16:1_20:3,0.0,0.0,1.3619541660586413e-15,0.125,0.0,False,False
PS 14:0_22:1,PG 14:0_22:3,4.113121870342497e-05,0.0009043306309093275,8.271524493537054e-18,0.90625,0.0,False,False
PS 14:0_22:1,PG 16:1_20:2,0.0,0.0,-0.00950268290184015,0.015625,0.0,False,False
PS 14:0_22:1,PG 14:0_22:2,0.0,0.0,0.008652178830030477,0.203125,0.09375,False,False
PS 14:0_22:1,PG 16:1_20:1,0.0,0.0,-6.239831289812015e-16,0.03125,0.0,False,False
PS 14:0_22:1,PG 14:0_22:1,6.791176831066198e-06,0.00014931405929247376,-2.1940218719107033e-15,0.734375,0.0,False,False
PS 14:0_22:1,PG 14:0_22:0,5.112877427185941e-05,0.001124141665441123,-2.936391195205654e-16,0.953125,0.0,False,False
PS 14:0_22:1,PG 16:1_22:6,0.0,0.0,1.0034393151222138e-15,0.109375,0.0,False,False
PS 14:0_22:1,PG 16:0_22:6,0.0,0.0,4.2805139254054254e-16,0.015625,0.0,False,False
PS 14:0_22:1,PG 16:1_22:4,8.062024773971047e-05,0.0017725552949990199,-1.9489779587896684e-15,0.28125,0.0,False,False
PS 14:0_22:1,PG 18:1_20:4,0.0,0.0,-0.0033009361369514905,0.234375,0.0,False,False
PS 14:0_22:1,PG 14:0_24:4,0.0,0.0,0.02243540200012001,0.21875,0.0,False,False
PS 14:0_22:1,PG 16:1_22:3,0.0009894156064183984,0.02175376436170074,2.6106999182726324e-16,0.484375,0.0,False,False
PS 14:0_22:1,PG 17:0_20:1,0.005020228226383213,0.11037713693846633,1.9438082559812076e-16,1.0,0.0,False,True
PS 14:0_22:1,PG 17:1_20:1,0.005184799252279772,0.11399547416186685,0.04013881839317831,0.953125,0.0625,False,False
PS 14:0_22:1,PC 14:0_18:0,0.00018546842526220506,0.004077797432663064,0.030129327924389923,1.0,0.0,False,True
PS 14:0_22:1,PC 14:0_20:1,0.0009629857222412056,0.021172664297412325,7.991714329029121e-16,0.59375,0.0,False,False
PS 14:0_22:1,PC 14:1_17:1,0.00014969195399920513,0.0032911988379979353,7.258262743078764e-16,0.671875,0.0,False,False
