method,lipid_name,lipid_class,raw_solver_reported,X_hat,rho_zero,rho_status,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
NNLS,PS 14:0_22:1,PS,True,0.019684573486396403,0.0005741889725840205,CACHED_FULL_FOREGROUND,-0.011267358927830482,0.125,0.9565074996929719,True,True,False
NNLS,PS 14:0_22:2,PS,True,0.0021854927129494085,1.3972007457499058e-06,CACHED_FULL_FOREGROUND,-0.0013799563778470606,0.25,0.09757299600929523,False,False,False
NNLS,PS 14:0_22:3,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 14:0_22:4,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:0_18:0,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:0_18:1,PS,True,0.00539662440896316,8.176961300049885e-05,CACHED_FULL_FOREGROUND,0.006456369434410731,0.6666666666666666,0.8379184164918042,True,True,False
NNLS,PS 16:0_18:2,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:0_20:0,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:0_20:1,PS,True,0.014986933991929416,,NOT_COMPUTED_ZERO_COEFFICIENT,0.000320446652236754,0.3333333333333333,0.9687148253049966,True,True,True
NNLS,PS 16:0_20:2,PS,False,0,,UNREPORTED,0.0003446814625758194,0.1111111111111111,,False,False,False
NNLS,PS 16:0_20:3,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:0_20:4,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:0_20:5,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:0_16:1,PS,False,0,,UNREPORTED,-1.2575918559766653e-16,0.0,,False,False,False
NNLS,PS 16:1_18:1,PS,False,0,,UNREPORTED,-4.710829215178235e-05,0.0,,False,False,False
NNLS,PS 20:0_16:1,PS,True,0.007326195158620168,,NOT_COMPUTED_ZERO_COEFFICIENT,-0.0036365691762246435,0.3333333333333333,0.8703249754390324,True,True,False
NNLS,PS 16:1_20:1,PS,True,0.0032264486344426788,7.000445449792729e-05,CACHED_FULL_FOREGROUND,0.0033614400038477436,0.6666666666666666,0.43261609323749767,False,False,False
NNLS,PS 16:1_20:2,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:1_20:3,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 16:1_20:4,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:0_18:0,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:0_18:1,PS,True,0.05946390738415296,0.002585842751012908,CACHED_FULL_FOREGROUND,0.03074035685668075,0.8333333333333334,0.9943614474859863,True,True,True
NNLS,PS 18:0_18:2,PS,True,0.0036244156621194432,7.563829654905488e-05,CACHED_FULL_FOREGROUND,-0.00068245246468981,0.6666666666666666,0.49104251145669786,False,False,False
NNLS,PS 18:0_18:3,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:1_18:1,PS,True,0.04625502094656096,0.005087623636312783,CACHED_FULL_FOREGROUND,0.08537884467268274,0.5,0.999680316553625,True,True,True
NNLS,PS 18:1_18:2,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:1_18:3,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:2_18:2,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 17:0_18:1,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 17:0_18:2,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PS 18:0_17:1,PS,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:0_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:0_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:0_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:0_22:4,PE,True,0.053643360081252464,0.0006480872765251761,CACHED_FULL_FOREGROUND,-0.04724478086980693,0.2857142857142857,0.7809714231476445,True,False,False
NNLS,PE 16:0_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:0_22:6,PE,True,0.03164717118616681,0.0001738179233929324,CACHED_FULL_FOREGROUND,0.020296466652139713,0.2857142857142857,0.992486938103968,True,True,True
NNLS,PE 16:0_24:4,PE,False,0,,UNREPORTED,-0.00013081220748607867,0.0,,False,False,False
NNLS,PE 16:0_24:5,PE,False,0,,UNREPORTED,-2.309186608881158e-05,0.0,,False,False,False
NNLS,PE 16:0_24:6,PE,False,0,,UNREPORTED,-0.0007155088422244094,0.0,,False,False,False
NNLS,PE 22:0_16:1,PE,False,0,,UNREPORTED,-0.0002470684706289988,0.0,,False,False,False
NNLS,PE 16:1_22:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:1_22:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:1_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:1_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:1_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 16:1_22:6,PE,False,0,,UNREPORTED,-0.0015365572536481117,0.0,,False,False,False
NNLS,PE 18:0_20:0,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_20:1,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_20:2,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_20:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_20:4,PE,True,0.02011064402982851,0.0,CACHED_FULL_FOREGROUND,-0.05647491844866121,0.2,0.7041904655115522,True,False,False
NNLS,PE 18:0_20:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_22:3,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_22:4,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
NNLS,PE 18:0_22:5,PE,False,0,,UNREPORTED,0.0,0.0,,False,False,False
