candidate_index,lipid_name,truth,clean_rho,mild_rho,stratum,domain,method,q_full,q_deleted,delta_q_unclipped,stable_delta_q_longdouble_accumulation,rho,stable_rho_unclipped,signal_energy_plus_epsilon,x_full_candidate,original_stored_rho,full_dual_violation,deleted_dual_violation,full_complementarity,deleted_complementarity,full_gradient_scale,deleted_gradient_scale,full_raw_min_coefficient,deleted_raw_min_coefficient,full_negative_projection_norm,deleted_negative_projection_norm,full_seconds,deleted_seconds,correction_cosine_with_known_mismatch,top_mismatch_channels_signed_gain,positive_gain_fraction_on_top_mismatch_channels,passes_original_cutoff,passes_mild_cutoff
10,PA 18:0_22:5,True,2.737093658639987e-08,0.0,true_positive_to_zero,MILD,scipy_nnls_reverse_order,0.00034997259613769464,0.00034997259613769464,0.0,2.582477273255955e-19,0.0,8.583815105586223e-19,0.3008542520417659,0.0,0.0,9.25438268190547e-17,9.1591366652502e-17,3.2563079535503204e-18,3.2548512641662985e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.30618149042129517,0.30492377281188965,-0.24654385531174308,2.4580598441234505e-19,0.8803846169583536,False,False
10,PA 18:0_22:5,True,2.737093658639987e-08,0.0,true_positive_to_zero,MILD,scipy_lsq_linear_bvls_tol_1e-12,0.0003499725961376944,0.00034997259613769464,2.710505431213761e-19,2.139086255553068e-19,9.009363879083474e-19,7.110041626588381e-19,0.3008542520417659,0.0,0.0,5.470175297528219e-16,5.442694905877232e-16,1.591494976978109e-17,1.626147560692348e-17,0.25717082035781663,0.2571708203578166,-1.3010426069826053e-18,-8.673617379884035e-19,1.7230515684107872e-18,1.1389566721257243e-18,1.3843788728117943,1.307122379541397,-0.11514661555601748,2.270603543627701e-19,0.8834498095346695,True,False
19,PA 18:1_22:3,False,0.0,8.474893859679513e-06,false_gains_original_cutoff,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,8.243086761679571e-19,-3.0337504632670343e-27,3.303369440632199e-27,0.0,1.0545125422769102e-26,0.3132603272313426,0.0,0.0,2.337229609858344e-16,2.9914112802084675e-16,6.873816868176826e-18,6.3624636458503426e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.4704800136387348,-0.0145181660091945,-5.533244846029494e-27,0.4830217355944658,False,False
19,PA 18:1_22:3,False,0.0,8.474893859679513e-06,false_gains_original_cutoff,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,8.243086761679571e-19,-3.0337504632670343e-27,3.303369440632199e-27,0.0,1.0545125422769102e-26,0.3132603272313426,0.0,0.0,2.337229609858344e-16,2.9914112802084675e-16,6.873816868176826e-18,6.3624636458503426e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.4723787270486355,-0.0145181660091945,-5.533244846029494e-27,0.4830217355944658,False,False
19,PA 18:1_22:3,False,0.0,8.474893859679513e-06,false_gains_original_cutoff,CLEAN,scipy_lsq_linear_bvls_tol_1e-12,8.333772108127009e-19,8.308781391652401e-19,-2.4990716474607676e-21,-2.4990716474607507e-21,0.0,-7.97761934793354e-21,0.3132603272313426,0.0,0.0,9.414442026744913e-13,9.82339181053218e-13,1.9999102855475974e-17,8.630015148798572e-18,0.26237873059943667,0.2623787305994367,-2.5849394142282115e-26,-1.0339757656912846e-25,3.6571606267851224e-26,1.071294461996845e-25,0.7315319627523422,0.8197322487831116,-0.05450348507591817,1.8907567465588212e-22,0.18757372896395572,False,False
19,PA 18:1_22:3,False,0.0,8.474893859679513e-06,false_gains_original_cutoff,MILD,scipy_nnls_original_order,0.00034997259613769464,0.0003525223039909819,2.5497078532872347e-06,2.5497078532878022e-06,8.474893859679513e-06,8.4748938596814e-06,0.3008542520417659,0.025095624208334617,8.474893859679513e-06,9.25438268190547e-17,1.1031079478682204e-16,3.2563079535503204e-18,5.191715874943447e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.3053913153707981,0.2983047515153885,-0.09221851578623445,2.187558023558227e-06,0.7322384347465918,True,False
19,PA 18:1_22:3,False,0.0,8.474893859679513e-06,false_gains_original_cutoff,MILD,scipy_nnls_reverse_order,0.00034997259613769464,0.0003525223039909819,2.5497078532872347e-06,2.5497078532878022e-06,8.474893859679513e-06,8.4748938596814e-06,0.3008542520417659,0.025095624208334617,8.474893859679513e-06,9.25438268190547e-17,1.1031079478682204e-16,3.2563079535503204e-18,5.191715874943447e-18,0.25717082035781663,0.2571708203578166,0.0,0.0,0.0,0.0,0.30618149042129517,0.29878417775034904,-0.09221851578623445,2.187558023558227e-06,0.7322384347465918,True,False
19,PA 18:1_22:3,False,0.0,8.474893859679513e-06,false_gains_original_cutoff,MILD,scipy_lsq_linear_bvls_tol_1e-12,0.0003499725961376944,0.000352522303990982,2.549707853287614e-06,2.5497078532876964e-06,8.474893859680775e-06,8.474893859681048e-06,0.3008542520417659,0.025095624208334326,8.474893859679513e-06,5.470175297528219e-16,2.6438269976059026e-16,1.591494976978109e-17,1.8633047201366492e-17,0.25717082035781663,0.2571708203578166,-1.3010426069826053e-18,-8.673617379884035e-19,1.7230515684107872e-18,1.4691419596994237e-18,1.3843788728117943,1.263179361820221,-0.09221851578656712,2.187558023558349e-06,0.7322384347464745,True,False
56,PA 20:1_22:5,False,3.0330398519472785e-27,9.009363879083474e-19,false_gains_original_cutoff,CLEAN,scipy_nnls_original_order,8.243086792017075e-19,8.243086801518386e-19,9.501310565267075e-28,-4.045876531594984e-27,3.0330398519472785e-27,-1.2915381169882728e-26,0.3132603272313426,0.0,3.0330398519472785e-27,2.337229609858344e-16,2.1391491265890012e-16,6.873816868176826e-18,4.573253458222111e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.498459842056036,0.47606031969189644,-0.029383960991178598,-4.313149918958346e-27,0.5910329224556206,False,False
56,PA 20:1_22:5,False,3.0330398519472785e-27,9.009363879083474e-19,false_gains_original_cutoff,CLEAN,scipy_nnls_reverse_order,8.243086792017075e-19,8.243086801518386e-19,9.501310565267075e-28,-4.045876531594984e-27,3.0330398519472785e-27,-1.2915381169882728e-26,0.3132603272313426,0.0,3.0330398519472785e-27,2.337229609858344e-16,2.1391491265890012e-16,6.873816868176826e-18,4.573253458222111e-18,0.26237873059943667,0.2623787305994367,0.0,0.0,0.0,0.0,0.494884617626667,0.47196511179208755,-0.029383960991178598,-4.313149918958346e-27,0.5910329224556206,False,False
