lipid_name,lipid_class,X_hat,rho_zero,predictive_gain,positive_block_fraction,joint_score,retained_by_pool,retained_by_fdp5,retained_by_fdp1
PG 14:0_22:4,PG,0.0015217893129586188,0.0,-9.491679724985459e-05,0.0,0.018747811848945497,False,False,False
PC 14:1_17:1,PC,0.0014836530613080638,2.7373928298844608e-06,-0.002666091529900102,0.25,0.015288622618421963,False,False,False
PG 14:0_22:2,PG,0.0013766143633431771,0.0,-4.5149366558431826e-05,0.0,0.011227202479640094,False,False,False
PE O-16:1_24:6,PE,0.0012682269332131278,3.420899005156468e-05,0.0028838806301867467,0.8,0.009878899186384203,False,False,False
PE O-16:1_24:0,PE,0.0011994730470494266,3.104387290755964e-06,6.150410589867294e-05,1.0,0.00660833935520627,False,False,False
PA 20:1_20:1,PA,0.0012204861544833515,0.0,0.0,0.0,0.005904324938712007,False,False,False
PE 17:0_22:6,PE,0.0011542058237190786,0.0,7.049848895352325e-05,0.125,0.004465807452880877,False,False,False
PE 20:1_18:2,PE,0.001110697252484861,0.0,0.0,0.0,0.0034965135181815824,False,False,False
PE 18:0_20:5,PE,0.0011026387225491967,0.0,0.0,0.0,0.0033555673188283524,False,False,False
PC 14:1_20:1,PC,0.0010918874494828912,0.0,-5.214383322507254e-05,0.0,0.0031661377409713328,False,False,False
PC 18:0_16:1,PC,0.0010720296356095517,0.0,0.0,0.0,0.0028595176421202613,False,False,False
PE O-20:0_20:3,PE,0.001070504924346424,0.0,-0.0033808428166661676,0.0,0.0023971933261170415,False,False,False
PG 17:1_20:2,PG,0.001027884660910343,0.0,0.00017527311481101872,0.1111111111111111,0.002317892033527966,False,False,False
PC 17:0_17:1,PC,0.0010813103441311062,0.00017337138947159944,-0.006509704576923476,0.25,0.0022870575889049455,False,False,False
PE O-16:1_22:2,PE,0.0011527609331009674,1.0084685632259315e-05,-0.02637345277359265,0.75,0.0013527024744397237,False,False,False
