mapping_slot,template_original_candidate_index,template_original_candidate_id_provenance_only,template_original_lipid_name_discarded,template_foreground_mean,truth_selection_position,synthetic_truth_candidate_index,synthetic_truth_candidate_id,synthetic_truth_lipid_name,synthetic_truth_lipid_class,difficulty_stratum,geometry_design_score_only,cone_isolation,max_parent_cosine,max_fragment_cosine,max_full_cosine
36,227,PEO-H__0124,PE O-18:0_20:3,0.0030493404632940427,15,141,PE-H__0123,PE 18:0_22:6,PE,Q1_lowest_competition,0.34718670076726343,0.3578455473352584,0.9999999999999992,0.8518939235283789,0.8004891666672417
37,228,PEO-H__0125,PE O-18:0_20:4,0.008688431049173717,32,213,PEO-H__0077,PE O-16:0_22:6,PE,Q1_lowest_competition,0.34367007672634275,0.48470573742722234,0.9999999999999997,0.900438885889574,0.7632124702069613
38,229,PEO-H__0126,PE O-18:0_20:5,0.0030317644321426504,49,164,PE-H__0168,PE 18:2_22:6,PE,Q1_lowest_competition,0.3414322250639386,0.2708371237553922,0.9999999999999981,0.7986746851823461,0.7790152182518231
39,235,PEO-H__0133,PE O-18:0_22:6,0.0016766063349577076,66,329,PG-H__0460,PG 17:0_20:1,PG,Q1_lowest_competition,0.28132992327365725,0.7656382983426151,0.9999999999999998,0.9467690930810565,0.46725613989146997
40,236,PEO-H__0150,PE O-18:1_20:1,0.01143571348543155,7,330,PG-H__0461,PG 17:0_20:2,PG,Q3_moderate_high_competition,0.6646419437340153,0.10023340318631115,0.9999999999999949,0.9691815015571644,0.9589290654283743
41,237,PEO-H__0151,PE O-18:1_20:2,0.0036867645692421785,24,331,PG-H__0462,PG 17:0_20:3,PG,Q3_moderate_high_competition,0.6582480818414322,0.15645235358917814,0.9999999999999963,0.9898819477902964,0.9156445871464431
42,239,PEO-H__0153,PE O-18:1_20:4,0.0616082453322032,41,320,PG-H__0101,PG 16:1_22:3,PG,Q3_moderate_high_competition,0.6547314578005115,0.23838939494724698,0.9999999999999999,0.9816952449555878,0.8489350701121507
43,244,PEO-H__0159,PE O-18:1_22:4,0.014933578264642325,58,324,PG-H__0105,PG 20:1_18:3,PG,Q3_moderate_high_competition,0.6534526854219949,0.23811465068961957,1.0,0.9659907277452849,0.7775930923942953
44,246,PEO-H__0161,PE O-18:1_22:6,0.08362738739149775,75,18,PA-H__0142,PA 18:1_22:2,PA,Q2_moderate_low_competition,0.48945012787723785,0.40366716929733215,1.0,0.9248799886279087,0.7196223801768364
45,248,PEO-H__0259,PE O-20:1_18:2,0.0020214254411057542,16,286,PG-H__0059,PG 18:1_18:3,PG,Q1_lowest_competition,0.3168158567774936,0.2765752615706676,0.9999999999999994,0.817951549214987,0.6479205988486453
46,256,PEO-H__0187,PE O-18:2_22:4,0.004230347797652717,33,335,PG-H__0478,PG 17:1_18:1,PG,Q1_lowest_competition,0.3008312020460358,0.6168343533979017,0.9999999999999997,0.9481350834683965,0.6317309645620319
47,258,PEO-H__0189,PE O-18:2_22:6,0.03957136601458654,50,277,PG-H__0044,PG 14:0_20:0,PG,Q1_lowest_competition,0.29379795396419445,0.7233219574944608,1.0,0.7740328453451822,0.5980499698063078
48,266,PEO-H__0236,PE O-20:0_20:3,0.001070504924346424,67,111,PS-H__0133,PS 18:1_18:3,PS,Q1_lowest_competition,0.2346547314578005,0.6381277857367744,1.0,0.5253007492314473,0.484962105391494
49,267,PEO-H__0237,PE O-20:0_20:4,0.004121898148795869,8,35,PA-H__0197,PA 20:0_20:0,PA,Q2_moderate_low_competition,0.5147058823529411,0.30857219638826255,0.9999999999999997,0.9341726466812952,0.8971732152464247
50,271,PEO-H__0265,PE O-20:1_20:4,0.03507887626589133,25,6,PA-H__0118,PA 18:0_22:1,PA,Q2_moderate_low_competition,0.5095907928388747,0.3291126428847987,1.0,0.854010491337717,0.7758194394971382
51,277,PG-H__0044,PG 14:0_20:0,0.0029034017160741643,42,23,PA-H__0151,PA 18:1_24:4,PA,Q2_moderate_low_competition,0.5057544757033248,0.2590661626283403,1.0,0.770029563231097,0.7660750464750595
52,283,PG-H__0056,PG 14:0_22:4,0.0015217893129586188,59,20,PA-H__0144,PA 18:1_22:4,PA,Q2_moderate_low_competition,0.4955242966751918,0.23118051955905902,1.0,0.7349039762795926,0.7251473077432745
