rho_zero_threshold,n_retained,molecular_TP,molecular_FP,precision,FDR,recall,coverage_fraction
1.08895774041124e-15,57,51,5,0.9107142857142857,0.08928571428571429,0.6710526315789473,0.5533980582524272
1.0342841387160028e-15,58,51,6,0.8947368421052632,0.10526315789473684,0.6710526315789473,0.5631067961165048
9.386412933765443e-16,59,51,6,0.8947368421052632,0.10526315789473684,0.6710526315789473,0.5728155339805825
8.096532251679951e-16,60,51,7,0.8793103448275862,0.1206896551724138,0.6710526315789473,0.5825242718446602
8.024516769756657e-16,61,51,7,0.8793103448275862,0.1206896551724138,0.6710526315789473,0.5922330097087378
7.763714507978093e-16,62,51,8,0.864406779661017,0.13559322033898305,0.6710526315789473,0.6019417475728155
6.955716269230166e-16,63,51,9,0.85,0.15,0.6710526315789473,0.6116504854368932
6.739444695068357e-16,64,51,10,0.8360655737704918,0.16393442622950818,0.6710526315789473,0.6213592233009708
5.592629849458311e-16,65,51,11,0.8225806451612904,0.1774193548387097,0.6710526315789473,0.6310679611650486
5.013240729098185e-16,66,51,12,0.8095238095238095,0.19047619047619047,0.6710526315789473,0.6407766990291263
4.18730446991567e-16,67,51,13,0.796875,0.203125,0.6710526315789473,0.6504854368932039
3.3058348712902096e-16,68,51,14,0.7846153846153846,0.2153846153846154,0.6710526315789473,0.6601941747572816
1.8886207796441365e-16,69,51,15,0.7727272727272727,0.22727272727272727,0.6710526315789473,0.6699029126213593
1.0177580321828892e-16,70,51,16,0.7611940298507462,0.23880597014925373,0.6710526315789473,0.6796116504854369
1.0015105520284319e-16,71,51,17,0.75,0.25,0.6710526315789473,0.6893203883495146
9.124238546419663e-17,72,51,17,0.75,0.25,0.6710526315789473,0.6990291262135923
4.6861510561866215e-17,73,51,18,0.7391304347826086,0.2608695652173913,0.6710526315789473,0.7087378640776699
4.650427328893213e-17,74,51,19,0.7285714285714285,0.2714285714285714,0.6710526315789473,0.7184466019417476
9.794767897649733e-18,75,51,20,0.7183098591549296,0.28169014084507044,0.6710526315789473,0.7281553398058253
3.2175587668428065e-18,76,51,21,0.7083333333333334,0.2916666666666667,0.6710526315789473,0.7378640776699029
1.6621722795852433e-18,77,51,22,0.6986301369863014,0.3013698630136986,0.6710526315789473,0.7475728155339806
9.473988848455898e-19,78,51,23,0.6891891891891891,0.3108108108108108,0.6710526315789473,0.7572815533980582
3.7458661954438045e-19,79,51,24,0.68,0.32,0.6710526315789473,0.7669902912621359
5.606479545294633e-24,80,51,25,0.6710526315789473,0.32894736842105265,0.6710526315789473,0.7766990291262136
1.993400253531958e-24,81,51,26,0.6623376623376623,0.33766233766233766,0.6710526315789473,0.7864077669902912
3.576162311090157e-25,82,51,27,0.6538461538461539,0.34615384615384615,0.6710526315789473,0.7961165048543689
3.2525065901256175e-25,83,51,28,0.6455696202531646,0.35443037974683544,0.6710526315789473,0.8058252427184466
4.15461911045827e-26,84,51,29,0.6375,0.3625,0.6710526315789473,0.8155339805825242
1.4432244288202416e-26,85,51,30,0.6296296296296297,0.37037037037037035,0.6710526315789473,0.8252427184466019
0.0,103,51,45,0.53125,0.46875,0.6710526315789473,1.0
