candidate_index,candidate_id,lipid_name,X_hat,X_hat_foreground_mean,molecular_truth,candidate_truth,same_lipid_alternative_candidate,rho_zero
295,PG-H__0070,PG 16:1_20:1,0.007648933573408727,0.007648933573408727,True,True,False,1.4706919031466473e-07
296,PG-H__0071,PG 18:0_18:2,0.0014116008756610786,0.0014116008756610786,False,False,False,0.0
297,PG-H__0072,PG 18:1_18:1,0.002119200701781911,0.002119200701781911,False,False,False,3.2175587668428065e-18
298,PG-H__0074,PG 14:0_22:1,0.02267186553502224,0.02267186553502224,False,False,False,0.0
299,PG-H__0075,PG 16:0_20:1,0.23273108132268117,0.23273108132268117,True,True,False,0.00044960906433345166
313,PG-H__0094,PG 16:1_22:4,0.0022927949563446336,0.0022927949563446336,False,False,False,1.6621722795852433e-18
314,PG-H__0095,PG 18:0_20:5,0.005448880213080097,0.005448880213080097,True,True,False,1.8655623184127978e-06
317,PG-H__0098,PG 20:2_18:3,0.0010949089337947437,0.0010949089337947437,False,False,False,0.0
319,PG-H__0100,PG 16:0_22:4,0.027451668915118424,0.027451668915118424,False,False,False,0.0
320,PG-H__0101,PG 16:1_22:3,0.02605864118156301,0.02605864118156301,True,True,False,1.83279207917656e-05
323,PG-H__0104,PG 18:2_20:2,0.02148412238725656,0.02148412238725656,False,False,False,0.0
324,PG-H__0105,PG 20:1_18:3,0.009348724420945571,0.009348724420945571,True,True,False,3.0699802267837294e-06
329,PG-H__0460,PG 17:0_20:1,0.001811805075888388,0.001811805075888388,True,True,False,3.649972173051049e-07
330,PG-H__0461,PG 17:0_20:2,0.012416496337972704,0.012416496337972704,True,True,False,2.284637805637498e-07
332,PG-H__0463,PG 17:0_20:4,0.0022973402523399442,0.0022973402523399442,True,True,False,1.3230523353703018e-07
335,PG-H__0478,PG 17:1_18:1,0.003461789999245145,0.003461789999245145,True,True,False,1.800382933024198e-07
339,PG-H__0483,PG 17:1_20:2,0.004074455427942443,0.004074455427942443,False,False,False,0.0
340,PG-H__0484,PG 17:1_20:3,0.0016838052582457098,0.0016838052582457098,False,False,False,1.0342841387160028e-15
344,PC+HCOO__0033,PC 14:0_18:1,0.005294928635497783,0.005294928635497783,True,False,True,9.386412933765443e-16
346,PC+HCOO__0057,PC 16:0_16:1,0.016792902024812442,0.016792902024812442,True,False,True,0.0
348,PCO+HCOO__0057,PC O-16:0_16:1,0.0012486904407557227,0.0012486904407557227,True,False,True,0.0
349,PCO+HCOO__0082,PC O-16:1_16:1,0.0036250531557243484,0.0036250531557243484,True,False,True,0.0
350,PCO+HCOO__0083,PC O-16:1_18:0,0.0158614508068393,0.0158614508068393,True,True,False,0.000279657405110019
355,PC+CH3COO__0032,PC 14:0_18:0,0.007050212338121231,0.007050212338121231,True,False,True,1.9367511277068712e-15
356,PC+CH3COO__0033,PC 14:0_18:1,0.025144846330959553,0.025144846330959553,True,True,False,3.57194563963282e-06
358,PC+CH3COO__0057,PC 16:0_16:1,0.0031186617315064127,0.0031186617315064127,True,True,False,5.716003765127679e-09
360,PCO+CH3COO__0057,PC O-16:0_16:1,0.0010621950699654444,0.0010621950699654444,True,True,False,6.39826561949482e-07
361,PCO+CH3COO__0082,PC O-16:1_16:1,0.0031678826797175044,0.0031678826797175044,True,True,False,3.4510811610656442e-06
