target,K,replicate,lipid_class,abundance_multiplier,status,n_identity_contexts,cone_isolation_median,max_fragment_cosine_median,max_full_cosine_median,collective_gain_median,X_hat_median
FDR1,100,R4,PG,1.8682084992203376,retained,3,0.23838939494724698,0.9263229165510191,0.8489350701121507,0.29010776373355207,0.025849218742532997
FDR1,100,R4,PG,2.0,retained,4,0.23442475371643134,0.9438963109243437,0.7638561481717832,0.3470330150425699,0.02474110060537668
FDR1,100,R4,PG,2.0,solver_miss,1,0.266391512522408,0.9726361074886047,0.9589290654283743,0.01725447718424139,0.0003658822711993615
FDR1,100,R4,PS,0.5,retained,3,0.4826107446087538,0.6351598729298585,0.8388893290291434,0.1898482402281083,0.007748869883138273
FDR1,100,R4,PS,0.5340342571614348,retained,2,0.5653194265058024,0.556916570663659,0.5701772902367741,0.2495924015852803,0.010131845701843696
FDR1,100,R4,PS,0.6170676298438253,retained,1,0.49681824282241865,0.5478869149773706,0.5411661615055257,0.34409744001467496,0.009432671966191785
FDR1,100,R4,PS,2.0,retained,4,0.6027340389555542,0.6209398796604959,0.6235873192845489,0.17953572602109713,0.032400175599058376
FDR1,100,R5,PA,0.5,retained,5,0.241048023112079,0.8691673191165914,0.811768772008992,0.31323723028330897,0.006950133734537572
FDR1,100,R5,PA,0.5340342571614348,retained,1,0.47201880717776407,0.8266719825061805,0.6924512402766023,0.24944586960093668,0.014864009715014642
FDR1,100,R5,PA,0.6170676298438253,retained,1,0.27393752390511106,0.8394493239810369,0.7712444256096473,0.36260158405766385,0.0037048439526550536
FDR1,100,R5,PA,0.689110922829001,retained,2,0.31760891588069107,0.8196765107494317,0.7781821479320346,0.3048127292724736,0.012308976042370221
FDR1,100,R5,PA,0.7303443264893795,retained,1,0.46175873097333114,0.9022714644699661,0.6587714343940032,0.2905844069806663,0.019173143695659978
FDR1,100,R5,PA,0.7303443264893795,solver_miss,1,0.1645114953783594,0.8957566529041909,0.8619613486853611,0.3424625013635971,0.0009141508833613475
FDR1,100,R5,PA,0.7802037075442214,retained,1,0.48292710886676304,0.8982874947005188,0.7105340184716673,0.22073574264275386,0.011849806322692754
FDR1,100,R5,PA,1.0000000000000002,retained,1,0.416531063009088,0.7481851339902038,0.6386711778861706,0.35294871355264307,0.01996429027246586
FDR1,100,R5,PA,1.0760213163243861,retained,1,0.4020166500263304,0.8495611434984474,0.7558192210470013,0.2527636987135384,0.01595182267370888
FDR1,100,R5,PA,1.4538436095675817,retained,1,0.3381799302246325,0.7789494468002593,0.6213615663357793,0.44534403487199864,0.021318068424745797
FDR1,100,R5,PA,1.8682084992203376,retained,1,0.33476954438953394,0.8781031661032047,0.8136488404920164,0.24658711409645712,0.021626482419769787
FDR1,100,R5,PA,2.0,retained,6,0.40030896730042365,0.871422591689687,0.6876534457634512,0.302825297137833,0.025174540096122664
FDR1,100,R5,PC,0.6170676298438253,retained,1,0.593367589246976,0.47707361889437966,0.4777580009686473,0.2851238976272237,0.009918781768897182
FDR1,100,R5,PC,0.7802037075442214,retained,2,0.5479029825774918,0.7108202195374564,0.7112897717119127,0.14947865934848717,0.0130430567491614
FDR1,100,R5,PC,2.0,retained,2,0.5081073084865496,0.5922712429135604,0.5916576540462821,0.2887437632514195,0.030646504463354672
FDR1,100,R5,PE,0.5,retained,10,0.24963685388185974,0.9604052833388289,0.9015256513628942,0.15773673614361838,0.007922356229662062
FDR1,100,R5,PE,0.5,solver_miss,1,0.17248031845796863,0.9828895828332406,0.9764529162651794,0.04325030597265456,9.426578590824767e-05
FDR1,100,R5,PE,0.5340342571614348,retained,1,0.5577857427715306,0.9215313010613547,0.6612863240163824,0.19234784377749203,0.00915680108879039
FDR1,100,R5,PE,0.6170676298438253,solver_miss,1,0.19168425851262216,0.9604368385083139,0.9433762539768673,0.1400403915099126,7.250058722877869e-05
FDR1,100,R5,PE,0.689110922829001,retained,1,0.24588669439016053,0.9868742659860326,0.9501374572146646,0.06594469017151477,0.01012901690533828
FDR1,100,R5,PE,0.7303443264893795,retained,1,0.15389249231375365,0.982213995160686,0.9807094412163158,0.04157871249447814,0.007697125244521341
