severity,lipid_name,contexts,raw_TP_contexts,solver_miss_contexts,filter_loss_contexts,loss_fraction_of_raw_TP,comparison_group,cone_isolation,max_fragment_cosine,collective_gain,full_spectral_change,fragment_spectral_change,achieved_dropout_rate
MILD,PS 18:0_18:3,15,15,0,0,0.0,never_filter_loss,0.5738266720137706,0.6379581944357362,0.264601068755451,0.001516310654012143,0.0014631946069058044,0.06666666666666667
MILD,PS 18:1_18:3,15,15,0,5,0.3333333333333333,any_filter_loss,0.6381277857367744,0.5253007492314473,0.23640738012806917,0.002803569105580772,0.0028337271763367866,0.046875
MILD,PA 16:0_24:1,10,10,0,10,1.0,any_filter_loss,0.5504804076642431,0.883487638633687,0.19595790828137805,0.0018129815710938857,0.0005478222759552898,0.017857142857142856
MILD,PA 18:0_22:0,10,10,0,10,1.0,any_filter_loss,0.3381799302246325,0.7789494468002593,0.44534403487199864,0.0011921075225009847,0.0013569185606716605,0.05405405405405406
MILD,PA 18:0_24:5,10,9,1,9,1.0,any_filter_loss,0.1609179673339711,0.923167578011941,0.23175005437601462,0.0008635904598484068,0.0008511644063095014,0.025
MILD,PA 18:1_22:3,10,10,0,5,0.5,any_filter_loss,0.26035456632127724,0.8639124793194024,0.33467634555443054,0.0026888722371033458,0.002139123678131294,0.03896103896103896
MILD,PA 18:1_22:4,10,10,0,10,1.0,any_filter_loss,0.23118051955905902,0.7349039762795926,0.45741325188581883,0.004805814183295842,0.004868951904925756,0.024096385542168676
MILD,PA 18:1_24:4,10,10,0,10,1.0,any_filter_loss,0.2590661626283403,0.770029563231097,0.383684973635327,0.0010838412905258554,0.0010729791287783508,0.058823529411764705
MILD,PA 20:0_20:3,10,10,0,10,1.0,any_filter_loss,0.28594755195446475,0.8048190171061798,0.4076195370011738,0.008036960110991642,0.00976471434619064,0.07317073170731707
MILD,PA 20:0_22:1,10,10,0,10,1.0,any_filter_loss,0.3017443733307278,0.7600275012777736,0.3861256918000734,0.003709424811556894,0.003737143717409519,0.025974025974025976
MILD,PA 20:0_22:4,10,10,0,10,1.0,any_filter_loss,0.241048023112079,0.8303328039494347,0.3429309669132585,0.060892874707397016,0.06298741883866765,0.046511627906976744
MILD,PA 20:1_22:3,10,10,0,10,1.0,any_filter_loss,0.33476954438953394,0.8781031661032047,0.24658711409645712,0.018403108017956193,0.021063832308081065,0.06329113924050633
MILD,PA 20:1_22:6,10,9,1,9,1.0,any_filter_loss,0.23670331410171605,0.9753576763078726,0.2468565478982028,0.0025643340536040116,0.0025700567332332946,0.06172839506172839
MILD,PA 20:4_22:4,10,10,0,10,1.0,any_filter_loss,0.48634054946811606,0.6664725514235691,0.28586225820427874,0.014403718647744035,0.015260405212573436,0.03225806451612903
MILD,PA 22:0_20:1,10,10,0,5,0.5,any_filter_loss,0.4020166500263304,0.8495611434984474,0.2527636987135384,0.01593733933205499,0.018926282928069638,0.04
MILD,PA 22:0_20:4,10,10,0,5,0.5,any_filter_loss,0.4550397992700734,0.7513055221510871,0.3384293666283728,0.0023387656878122165,0.0024800429863981455,0.04819277108433735
MILD,PA 22:1_20:5,10,10,0,10,1.0,any_filter_loss,0.35373566324826666,0.8941830868357824,0.2306843778836697,0.0036393607382263493,0.003952696241691589,0.025
MILD,PA 22:5_22:5,10,10,0,10,1.0,any_filter_loss,0.37471749963267753,0.9264320052062154,0.08562930665407442,0.05654517952012661,0.05902033614793045,0.10869565217391304
MILD,PA 24:1_18:2,10,10,0,5,0.5,any_filter_loss,0.416531063009088,0.7481851339902038,0.35294871355264307,0.0021331576615825076,0.0017595765424679444,0.045454545454545456
MILD,PC 14:1_20:1,10,10,0,0,0.0,never_filter_loss,0.4158486366407816,0.6900215947371616,0.30806497780657766,0.0002922287015207914,0.00029117252372179436,0.012987012987012988
MILD,PC 16:0_18:0,10,10,0,10,1.0,any_filter_loss,0.49212912704514206,0.6471130837014081,0.2680149501547328,0.004063515546806951,0.004072487376110989,0.07058823529411765
MILD,PC 16:0_18:1,10,10,0,10,1.0,any_filter_loss,0.3986166534022413,0.6482926248318512,0.4109027795617344,0.002719818573634347,0.002719800540087247,0.11594202898550725
MILD,PC 16:1_18:2,10,10,0,0,0.0,never_filter_loss,0.6451321224456396,0.494520891089959,0.2246564065829395,0.07762520620459001,0.07763217030105019,0.06666666666666667
MILD,PE 16:0_24:6,10,10,0,10,1.0,any_filter_loss,0.354462542162506,0.9120817497666402,0.1077393979106176,0.012594339890680706,0.012384383975249547,0.04838709677419355
MILD,PE 17:0_22:4,10,10,0,10,1.0,any_filter_loss,0.16492324087593133,0.9518068384474951,0.1688292372948361,0.003262250096318753,0.003098515234440602,0.04411764705882353
MILD,PE 17:0_22:5,10,10,0,0,0.0,never_filter_loss,0.20553202250395822,0.9211023236447361,0.22285151703158326,0.0012394890093427868,0.0012522411101744124,0.030303030303030304
MILD,PE 17:1_20:1,10,10,0,10,1.0,any_filter_loss,0.2809048613188857,0.9726361074886047,0.3272746898881621,0.0022883291685498186,0.0024144226540380176,0.08196721311475409
MILD,PE 17:1_20:3,10,10,0,10,1.0,any_filter_loss,0.17058675100295786,0.9942019114139844,0.23344250644858108,0.0217430849925212,0.02209873193679912,0.1
MILD,PE 17:1_22:5,10,10,0,10,1.0,any_filter_loss,0.1734421065443991,0.9209267513286628,0.23190880091119995,0.0016810239978535257,0.0016830515975861937,0.06349206349206349
MILD,PE 17:1_22:6,10,10,0,10,1.0,any_filter_loss,0.2805102678681988,0.8065738667783828,0.34444630313629093,0.0021298269298372086,0.002090265847873085,0.1111111111111111
MILD,PE 18:0_20:3,10,9,1,9,1.0,any_filter_loss,0.19168425851262216,0.9604368385083139,0.1400403915099126,0.00019942539037831608,0.0002018506253916863,0.03125
MILD,PE 18:0_20:5,10,10,0,10,1.0,any_filter_loss,0.4239120961696826,0.9850297730134422,0.320123235599173,0.0011396559714325072,0.0011919672869405984,0.02666666666666667
MILD,PE 18:1_20:2,10,9,1,9,1.0,any_filter_loss,0.23433578314102768,0.9251187567839819,0.20375319449318544,0.0008310407557433619,0.00014275590517265346,0.014285714285714285
MILD,PE 18:1_22:3,10,7,3,7,1.0,any_filter_loss,0.10400557506001402,0.9605256779361461,0.1742934444820513,0.0035822472545240513,0.0035823397963168357,0.058823529411764705
MILD,PE 18:2_20:2,10,10,0,10,1.0,any_filter_loss,0.18632332063996887,0.930785287256962,0.4829206823131476,0.0008037372846143587,0.0008063023806984537,0.028985507246376812
MILD,PE 20:0_20:3,10,10,0,10,1.0,any_filter_loss,0.23032749244938702,0.9788474233762352,0.09767313679891157,0.021471551927456423,0.022981147873066488,0.1206896551724138
MILD,PE 20:1_18:2,10,10,0,10,1.0,any_filter_loss,0.3477875659110764,0.8910754995054128,0.2892279401300275,0.0915750292343036,0.10181200158881287,0.07142857142857142
MILD,PE 20:1_20:4,10,8,2,8,1.0,any_filter_loss,0.22946614386916517,0.9422890778439277,0.1647009138898418,0.0011668996450705515,0.0009797108106910368,0.0410958904109589
MILD,PE 20:1_20:5,10,10,0,0,0.0,never_filter_loss,0.3973599004661181,0.7993795604865694,0.33650437366671354,0.002105112367196016,0.0015876158792395012,0.06944444444444445
MILD,PE 20:4_20:5,10,10,0,0,0.0,never_filter_loss,0.26664550336010406,0.7114621309435802,0.4744158758561441,0.0026647366186214327,0.0027472315274700287,0.01694915254237288
