dataset_id,domain,K,split,replicate,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,reportable_truth,candidate_indices
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_20:3,PA,0.00012091514747671354,,NOT_COMPUTED,False,False,False,[82]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_22:2,PA,0.0030651799751176398,9.100749605045905e-23,COMPUTED,True,False,False,[85]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_22:3,PA,4.491577521813301e-05,,NOT_COMPUTED,False,False,False,[86]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_22:4,PA,0.0025901398202159767,4.213879868341307e-25,COMPUTED,True,False,False,[87]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_22:5,PA,7.381102304213836e-06,,NOT_COMPUTED,False,False,False,[88]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:2_22:6,PA,0.00032331555535472067,,NOT_COMPUTED,False,False,False,[89]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:3_22:3,PA,0.0007844431322459841,,NOT_COMPUTED,False,False,False,[93]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:3_22:4,PA,1.3487055335225674e-05,,NOT_COMPUTED,False,False,False,[94]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:3_22:5,PA,4.798295018638803e-06,,NOT_COMPUTED,False,False,False,[95]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:3_22:6,PA,2.200955555840991e-05,,NOT_COMPUTED,False,False,False,[96]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:3_24:6,PA,0.02515009743273295,5.109917897460586e-05,COMPUTED,True,True,True,[97]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:4_22:4,PA,0.003456601856154829,3.018349991842391e-29,COMPUTED,True,False,False,[102]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:4_22:5,PA,0.002309574478273078,2.198481285443527e-23,COMPUTED,True,False,False,[103]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:4_22:6,PA,0.011584699957686462,1.9880289765980097e-05,COMPUTED,True,True,True,[104]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:4_24:5,PA,0.00011127835779986451,,NOT_COMPUTED,False,False,False,[105]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:4_24:6,PA,0.0030498776370213054,0.0,COMPUTED,True,False,False,[106]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:5_22:5,PA,5.489808642573409e-05,,NOT_COMPUTED,False,False,False,[112]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:5_22:6,PA,0.0052211264238961495,4.204416860206477e-06,COMPUTED,True,True,True,[113]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:5_24:5,PA,2.568081968365238e-06,,NOT_COMPUTED,False,False,False,[115]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 20:5_24:6,PA,0.001289171363192027,1.2828296007219712e-27,COMPUTED,True,False,False,[116]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_18:1,PA,0.0017569460552194882,1.2816556107146862e-07,COMPUTED,True,True,True,[24]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_18:2,PA,0.0002826998726116069,,NOT_COMPUTED,False,False,False,[36]
D0__HOLD_R3_K125,D0,125,HOLD,R3,PA 22:0_18:3,PA,0.0016919871253519773,0.0,COMPUTED,True,False,False,[47]
