dataset_id,split,replicate,complexity_condition,global_truth_K,candidate_index,candidate_id,lipid_name,X_hat,candidate_truth,molecular_truth,same_lipid_alternative_candidate,rho_zero,domain,K,reportable_truth
D0__HOLD_R3_K125,HOLD,R3,K125,125,261,PE-H__0137,PE 18:1_20:3,0.0012986332626920554,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,263,PE-H__0139,PE 18:1_20:5,0.002652330943601532,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,270,PE-H__0157,PE 20:1_18:2,0.0021349390341294603,False,False,False,3.216814108272801e-29,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,271,PE-H__0158,PE 18:2_20:2,0.0011013382380250147,False,False,False,1.1370656233290822e-26,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,272,PE-H__0159,PE 18:2_20:3,0.0047281933134790104,False,False,False,1.7406757614544027e-25,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,273,PE-H__0160,PE 18:2_20:4,0.0163656569680231,True,True,False,2.6958923604855563e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,274,PE-H__0161,PE 18:2_20:5,0.0029604275809245275,False,False,False,1.228592951641102e-22,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,276,PE-H__0164,PE 18:2_22:2,0.012197106339068729,False,False,False,1.5022934013450633e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,277,PE-H__0165,PE 18:2_22:3,0.003463369737564847,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,278,PE-H__0166,PE 18:2_22:4,0.006884386728060359,False,False,False,2.7881048125960336e-24,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,279,PE-H__0167,PE 18:2_22:5,0.02754037443044004,True,True,False,3.333710233459639e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,280,PE-H__0168,PE 18:2_22:6,0.022716939394122577,True,True,False,1.884078402901664e-05,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,282,PE-H__0178,PE 20:1_18:3,0.0023086611150080465,False,False,False,2.0328050519165768e-26,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,285,PE-H__0181,PE 18:3_20:4,0.0025901395330943148,False,False,False,1.1133766028508122e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,286,PE-H__0182,PE 18:3_20:5,0.005490889820332522,True,True,False,6.881549326333803e-06,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,287,PE-H__0183,PE 22:0_18:3,0.0016009999554328239,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,288,PE-H__0184,PE 22:1_18:3,0.002049062488017726,False,False,False,3.944927995295428e-26,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,289,PE-H__0185,PE 22:2_18:3,0.0017012340184066035,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,293,PE-H__0189,PE 18:3_22:6,0.001201286813386859,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,295,PE-H__0201,PE 20:0_20:4,0.001834725503757502,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,296,PE-H__0202,PE 20:0_20:5,0.004114465751244435,False,False,False,0.0,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,298,PE-H__0219,PE 20:1_20:3,0.007257947838717498,False,False,False,6.571929922747077e-23,D0,125,False
D0__HOLD_R3_K125,HOLD,R3,K125,125,299,PE-H__0220,PE 20:1_20:4,0.0146171248626311,True,True,False,9.78718133769325e-07,D0,125,True
D0__HOLD_R3_K125,HOLD,R3,K125,125,301,PE-H__0236,PE 20:2_20:2,0.0019283108865484474,False,False,False,0.0,D0,125,False
