domain,split,K,true_n,false_n,true_min,true_max,true_q01,true_q05,true_median,true_q95,false_min,false_max,false_median,false_q95,false_q99,false_exact_zero_count,false_exact_zero_fraction,log_gap_q05_q95,log_gap_definition,AUROC_rho,AUPRC,AUPRC_definition
CLEAN_REFERENCE,CAL,GLOBAL,1708,1455,5.2088844476385266e-11,0.009986758992818907,2.7635038553355196e-10,2.2908836964496413e-09,4.1545499775035017e-07,0.0002676178917916621,0.0,2.2340418500217053e-19,2.2550746214191776e-29,1.539170568233584e-20,6.52321019311731e-20,702,0.4824742268041237,11.172716291227584,log10(q05_true)-log10(q95_false); no epsilon,1.0,0.9999999999999536,average precision; tied score groups retained together
CLEAN_REFERENCE,CAL,50,250,373,5.652805656569842e-07,0.009986758992818907,5.652806391785849e-07,2.0766581725234577e-06,4.8968057571108263e-05,0.0021365491889790036,0.0,4.080594202159518e-20,0.0,5.055346702304328e-21,1.1390660819590893e-20,209,0.5603217158176944,14.61361407011755,log10(q05_true)-log10(q95_false); no epsilon,1.0,1.0000000000000007,average precision; tied score groups retained together
CLEAN_REFERENCE,CAL,125,617,535,3.0491077018379777e-09,0.0019467473246076031,3.1000292915892233e-09,2.0586413223423643e-08,5.773791147603101e-07,0.00015376052804754958,0.0,2.2340418500217053e-19,5.36405844684227e-31,2.961925900222155e-20,9.838520426914347e-20,267,0.49906542056074765,11.842006496570368,log10(q05_true)-log10(q95_false); no epsilon,1.0,1.0000000000000078,average precision; tied score groups retained together
CLEAN_REFERENCE,CAL,175,841,547,5.2088844476385266e-11,0.0010047748442424968,2.2103138462169937e-10,9.576629547966116e-10,6.518529213167071e-08,6.341661538280737e-05,0.0,9.523048393698921e-20,2.495214659066865e-28,2.0232621420410642e-20,5.920324498683432e-20,226,0.41316270566727603,10.675160532595342,log10(q05_true)-log10(q95_false); no epsilon,1.0,1.000000000000015,average precision; tied score groups retained together
CLEAN_REFERENCE,HOLD,GLOBAL,1676,1528,8.271641528718288e-12,0.004524657625285489,3.095218674357237e-10,1.8598868824963565e-09,4.392175691976588e-07,0.00023889994378238017,0.0,1.4378698484422636e-19,7.25029897951126e-29,8.551889535597682e-21,2.9385255114101534e-20,728,0.47643979057591623,11.337424448948246,log10(q05_true)-log10(q95_false); no epsilon,1.0,0.999999999999983,average precision; tied score groups retained together
CLEAN_REFERENCE,HOLD,50,250,430,1.0371365833378726e-06,0.004524657625285489,1.0371366809292166e-06,3.851413115911337e-06,2.905541415938875e-05,0.0024635364049077173,0.0,6.506038353136266e-20,0.0,2.7558640223618226e-21,1.0557268647262092e-20,244,0.5674418604651162,15.145362319898432,log10(q05_true)-log10(q95_false); no epsilon,1.0,1.0000000000000007,average precision; tied score groups retained together
CLEAN_REFERENCE,HOLD,125,597,581,5.982892345135942e-10,0.0018883523458977627,4.774470630337935e-09,1.4647665718890078e-08,6.802649022127237e-07,0.0001194288154658215,0.0,6.287182618738621e-20,2.2412939721331167e-28,5.030417972888261e-21,2.40048744066775e-20,275,0.47332185886402756,12.464164348481201,log10(q05_true)-log10(q95_false); no epsilon,1.0,1.0000000000000109,average precision; tied score groups retained together
CLEAN_REFERENCE,HOLD,175,829,517,8.271641528718288e-12,0.0009655093127395723,1.432781518644745e-10,6.526208852708865e-10,5.043851292927376e-08,5.7792741536771615e-05,0.0,1.4378698484422636e-19,8.202963771191896e-27,1.9663607096087427e-20,4.527797989451619e-20,209,0.40425531914893614,10.520997780158792,log10(q05_true)-log10(q95_false); no epsilon,1.0,0.9999999999999778,average precision; tied score groups retained together
CLEAN_REFERENCE,ALL,GLOBAL,3384,2983,8.271641528718288e-12,0.009986758992818907,2.7635062942843344e-10,2.0723853820402164e-09,4.364114353001734e-07,0.0002544619739543476,0.0,2.2340418500217053e-19,3.5472034647511355e-29,1.1936720951936847e-20,5.181614568280544e-20,1430,0.47938317130405633,11.23958547888695,log10(q05_true)-log10(q95_false); no epsilon,1.0,0.9999999999999368,average precision; tied score groups retained together
CLEAN_REFERENCE,ALL,50,500,803,5.652805656569842e-07,0.009986758992818907,1.0324180244390852e-06,2.262676758238594e-06,3.41684919477037e-05,0.002152898563437791,0.0,6.506038353136266e-20,0.0,3.967196452608485e-21,1.1920677355713447e-20,453,0.564134495641345,14.756138808944758,log10(q05_true)-log10(q95_false); no epsilon,1.0,1.0000000000000007,average precision; tied score groups retained together
