dataset_id,severity,split,K,replicate,forward_mismatch_residual,learned_solver_reconstruction_relative_residual,source_NNLS_residual,source_NNLS_false_identity_count,X_true_sha256,B_target_sha256,p50,p90_over_p50,p95_over_p50,p99_over_p50,max_over_p50,mismatch_B_p50_over_V57_clean_B_p50
MODERATE__HOLD_R2_K175,MODERATE,HOLD,175,R2,0.10688956449393214,0.0556410607384119,0.04005782704536306,55,3b748407f7d7ae003ca97d7ec22f9b2e89b2f0783485860bea3f25179a960cff,ee3140395afc8c84989ab2cd6c14fdc67cd667602c440d822ca6342d31bcd29c,0.5958136145829485,1.5063523382849056,1.697786683316832,2.2941749114978816,3.352100583698448,0.9869719819640224
MODERATE__HOLD_R3_K050,MODERATE,HOLD,50,R3,0.13688264174258158,0.09804341451278777,0.0761656258928244,54,efef3e7efe1c783402198e7fc49f826d855f024420fcf83a1159867f0654cc1e,8a233a0cafe4f6508768eb08dd9b6f2d169a4107ef1b33aec75ddd3242a77f6c,0.6004951863195284,1.8512006625350825,2.1461869345330786,3.069539085213244,4.724221799075317,0.9947270973356545
MODERATE__HOLD_R3_K125,MODERATE,HOLD,125,R3,0.1171491868230662,0.0673624052142783,0.053958563151687185,65,b44f70a0c7831ffba7077c59be3820c61583416dd0cc401eedc39dacb374cbc1,6137fc833903e068a657a6e043f6e0370a9ac7ab3e1c7ecb8a07e355b83db009,0.597657994422874,1.581441879256759,1.7841686046369432,2.449910870090301,3.491049125267373,0.9900272169953075
MODERATE__HOLD_R3_K175,MODERATE,HOLD,175,R3,0.10223964908317651,0.05183041089756515,0.040057922167278125,55,11880e8081e4f45bea9cf8a67509f51ae95eeba0971724b5b2927c77a54df1ce,7a61f54b75f568265213f0b7b622b4ea716f1afeea0cb24d57a8a81b74da17f5,0.594703357055796,1.507406314814732,1.6611580390095133,2.1289772232985307,2.936366540116215,0.985132812889386
MODERATE__HOLD_R4_K050,MODERATE,HOLD,50,R4,0.13577301723115356,0.09092508292775416,0.07616567000188132,54,ee62b23f203dabc5c376d2ca144e0da5da309608ec7a95b8c01fd6123d37d206,955e9897236fe88a22bd888fcb0420c3f25a408b70ae6c1233728db3fb12f05b,0.601948463627799,1.4923580606867284,1.7029171542164232,2.261210720569443,3.4741727099795705,0.9971344761491078
MODERATE__HOLD_R4_K125,MODERATE,HOLD,125,R4,0.12114622192465097,0.06879314788412534,0.05395875094924185,65,1cdcc0c145c848c2b16815613c1cff369b989f5c034f196e2f74cc2adab57d56,1e0c5741b2b6e0e5c1637bb405ae1a77e34fa3da25b3f7bb41c7adc528f67a54,0.5994700331108233,1.4973059461766014,1.6727485574071423,2.2998742778942973,3.298637470386528,0.9930289032925658
MODERATE__HOLD_R4_K175,MODERATE,HOLD,175,R4,0.10312910789897277,0.05167164866535455,0.040057870285353035,55,ee8c9bf454852bf5a02bc7b8ce6d6b6d9d392b500cc2b3f1e0d7d84b40ef19d4,1d4c9513e12236ae409a75a4675d6eed1e017cf8780d4b05f0f0f359ee317201,0.5963048192585891,1.4659276139722908,1.6439612031334279,2.220560927609878,3.2517072110586476,0.9877855881460839
MODERATE__HOLD_R5_K050,MODERATE,HOLD,50,R5,0.15256714486236952,0.10575715040701257,0.0761652513823055,54,8399c313c8f0bebbd0dbdd902a36563a9d49173e6b862c606aa8d83bd7a083ba,891713ffc8edcadd7978a4a7826b560463a53e8d326ee840ed81407c8514a92d,0.6000200772100356,1.6855646794895955,1.9819713700089558,2.5773794862527244,3.9830772706949866,0.9939399847671199
MODERATE__HOLD_R5_K125,MODERATE,HOLD,125,R5,0.13296396182049716,0.07544027168010689,0.05395881792778623,65,73185c2b17d8b1bd89c29062b6b1e3e7ae8a83595cfe1773357276c12ed4fffa,feb33834436eac8faa1c3351d1595ec4edea9908dc28b1e5305080bbf2f2ab58,0.5980508458792312,1.4324460990657797,1.580083446177069,1.9526350743101897,2.833347334970902,0.9906780202066836
MODERATE__HOLD_R5_K175,MODERATE,HOLD,175,R5,0.1094630352795673,0.05602698374706974,0.040057972173920466,55,af0c10105d48426f2bd5658d9af2353574b783b65632b58b4133caf5024be7e3,60374255ebca140c3cf6e915dcd8f49dd3bedf87ce669b6fe3d29967953c0b70,0.594686110199691,1.363111348541819,1.4920589024759685,1.7785659163797056,3.106581515856534,0.985104289059182
