severity,protocol,score,target,threshold,threshold_available,calibration_status,primary_rho_result,replicate,N_retained,TP,FP,FN,raw_solver_TP,raw_solver_FP,raw_solver_FN,filtered_TP,filtered_FP,filtered_FN,true_positive_retention,TP_retention,filter_induced_true_loss,filter_induced_true_loss_fraction,precision,FDR,FDR_lower95,FDR_upper95,coverage,all_truth_recall,reportable_truth_recall
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,R1,77,74,3,276,334,312,16,74,3,276,0.2215568862275449,0.2215568862275449,260,0.7784431137724551,0.961038961038961,0.03896103896103896,0.013337950040590962,0.10839981872632877,0.11919504643962849,0.21142857142857144,0.21142857142857144
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,R2,77,74,3,276,341,310,9,74,3,276,0.21700879765395895,0.21700879765395895,267,0.782991202346041,0.961038961038961,0.03896103896103896,0.013337950040590962,0.10839981872632877,0.11827956989247312,0.21142857142857144,0.21142857142857144
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,R3,77,74,3,276,331,307,19,74,3,276,0.22356495468277945,0.22356495468277945,257,0.7764350453172205,0.961038961038961,0.03896103896103896,0.013337950040590962,0.10839981872632877,0.1206896551724138,0.21142857142857144,0.21142857142857144
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,R4,77,74,3,276,337,290,13,74,3,276,0.2195845697329377,0.2195845697329377,263,0.7804154302670623,0.961038961038961,0.03896103896103896,0.013337950040590962,0.10839981872632877,0.12280701754385964,0.21142857142857144,0.21142857142857144
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR5,1.7543740552697457e-05,True,AVAILABLE,True,R5,77,74,3,276,337,295,13,74,3,276,0.2195845697329377,0.2195845697329377,263,0.7804154302670623,0.961038961038961,0.03896103896103896,0.013337950040590962,0.10839981872632877,0.12183544303797468,0.21142857142857144,0.21142857142857144
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,R1,53,52,1,298,334,312,16,52,1,298,0.15568862275449102,0.15568862275449102,282,0.844311377245509,0.9811320754716981,0.018867924528301886,0.0033384533882637665,0.09942912052501235,0.08204334365325078,0.14857142857142858,0.14857142857142858
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,R2,53,52,1,298,341,310,9,52,1,298,0.15249266862170088,0.15249266862170088,289,0.8475073313782991,0.9811320754716981,0.018867924528301886,0.0033384533882637665,0.09942912052501235,0.08141321044546851,0.14857142857142858,0.14857142857142858
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,R3,53,52,1,298,331,307,19,52,1,298,0.15709969788519637,0.15709969788519637,279,0.8429003021148036,0.9811320754716981,0.018867924528301886,0.0033384533882637665,0.09942912052501235,0.08307210031347963,0.14857142857142858,0.14857142857142858
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,R4,53,52,1,298,337,290,13,52,1,298,0.1543026706231454,0.1543026706231454,285,0.8456973293768546,0.9811320754716981,0.018867924528301886,0.0033384533882637665,0.09942912052501235,0.08452950558213716,0.14857142857142858,0.14857142857142858
MILD,LOCAL_CAL_RECALIBRATION,rho_zero,FDR1,3.855433800025021e-05,True,AVAILABLE,True,R5,53,52,1,298,337,295,13,52,1,298,0.1543026706231454,0.1543026706231454,285,0.8456973293768546,0.9811320754716981,0.018867924528301886,0.0033384533882637665,0.09942912052501235,0.08386075949367089,0.14857142857142858,0.14857142857142858
