scope_type,scope_id,pixel_row,pixel_col,observed_precursor_group_count,sum_compatible_candidate_multiplicities,observed_group_multiplicity_mean,observed_group_multiplicity_median,observed_group_multiplicity_max,active_count_1e-4,active_count_1e-3,active_count_1e-2,participation_ratio,B_l2_norm
foreground_pixel,pixel_176_038,176,38,96,358,3.7291666666666665,3.0,10,69,44,19,10.008132934570312,0.7604355216026306
foreground_pixel,pixel_176_039,176,39,102,371,3.6372549019607843,3.0,10,76,52,21,10.685823440551758,0.6716916561126709
foreground_pixel,pixel_176_040,176,40,104,375,3.605769230769231,3.0,10,65,43,25,12.111491203308105,0.7351074814796448
foreground_pixel,pixel_176_041,176,41,99,357,3.606060606060606,3.0,10,75,49,20,10.388837814331055,0.6660256385803223
foreground_pixel,pixel_176_042,176,42,105,377,3.5904761904761906,3.0,10,85,54,22,11.309853553771973,0.7278690934181213
foreground_pixel,pixel_176_043,176,43,102,367,3.5980392156862746,3.0,10,68,47,20,9.773509979248047,0.7598123550415039
foreground_pixel,pixel_176_044,176,44,95,350,3.6842105263157894,3.0,10,74,45,18,9.821427345275879,0.7579686045646667
foreground_pixel,pixel_176_045,176,45,98,360,3.673469387755102,3.0,10,79,40,23,11.678695678710938,0.5448704361915588
foreground_pixel,pixel_176_046,176,46,99,360,3.6363636363636362,3.0,10,72,45,20,11.310284614562988,0.4621414542198181
foreground_pixel,pixel_176_047,176,47,101,370,3.6633663366336635,3.0,10,63,41,24,14.428755760192871,0.4435749351978302
foreground_pixel,pixel_176_048,176,48,107,383,3.5794392523364484,3.0,10,88,66,28,18.582731246948242,0.5501202940940857
foreground_pixel,pixel_176_049,176,49,106,386,3.641509433962264,3.0,10,79,64,32,24.316864013671875,0.47603487968444824
foreground_pixel,pixel_176_050,176,50,105,380,3.619047619047619,3.0,10,75,63,31,27.9822940826416,0.4729422330856323
foreground_pixel,pixel_176_051,176,51,105,380,3.619047619047619,3.0,10,77,66,32,27.60399627685547,0.509414553642273
foreground_pixel,pixel_176_052,176,52,110,391,3.5545454545454547,3.0,10,87,72,31,23.67436981201172,0.5537102818489075
foreground_pixel,pixel_176_053,176,53,109,389,3.5688073394495414,3.0,10,86,68,32,26.06260108947754,0.5074585676193237
foreground_pixel,pixel_176_054,176,54,107,382,3.5700934579439254,3.0,10,73,56,29,25.211585998535156,0.38648247718811035
foreground_pixel,pixel_176_055,176,55,107,386,3.607476635514019,3.0,10,75,59,28,22.17571449279785,0.42902249097824097
foreground_pixel,pixel_176_056,176,56,107,382,3.5700934579439254,3.0,10,84,61,29,27.38224220275879,0.4422554075717926
foreground_pixel,pixel_176_057,176,57,106,384,3.6226415094339623,3.0,10,81,63,32,29.050457000732422,0.4670048952102661
foreground_pixel,pixel_176_058,176,58,104,378,3.6346153846153846,3.0,10,83,62,32,27.384666442871094,0.4967106282711029
foreground_pixel,pixel_176_059,176,59,107,383,3.5794392523364484,3.0,10,79,61,32,26.746789932250977,0.4734213650226593
foreground_pixel,pixel_176_060,176,60,103,372,3.6116504854368934,3.0,10,79,64,36,29.15545082092285,0.483218252658844
foreground_pixel,pixel_176_061,176,61,106,382,3.6037735849056602,3.0,10,76,65,35,27.1796817779541,0.5015974640846252
foreground_pixel,pixel_176_062,176,62,109,389,3.5688073394495414,3.0,10,89,73,35,27.24271583557129,0.5283675193786621
foreground_pixel,pixel_176_063,176,63,108,388,3.5925925925925926,3.0,10,78,66,33,24.506587982177734,0.4936662018299103
foreground_pixel,pixel_176_064,176,64,109,389,3.5688073394495414,3.0,10,73,65,33,24.95638084411621,0.5268818140029907
foreground_pixel,pixel_176_065,176,65,106,382,3.6037735849056602,3.0,10,96,66,24,16.632854461669922,0.5340915322303772
