candidate_index,candidate_id,lipid_name,lipid_identity,lipid_class,adduct,rule_sheet,precursor_mz,isolation_window_low,isolation_window_high,in_isolation_window,eligibility_reason,precursor_source_channel_index,precursor_source_channel_mz,precursor_match_abs_error_da,precursor_compatible_group_id,precursor_compatible_group_multiplicity,compatible_observation_channel_indices,compatible_observation_channel_mz
97,PS-H__0067,PS 16:0_20:5,PS 16:0_20:5,PS,[M-H]-,PS-H,780.48211,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,977,780.4827858582096,0.0006758582095471866,PG_063,2,977,780.48278586
98,PS-H__0083,PS 18:0_16:1,PS 18:0_16:1,PS,[M-H]-,PS-H,760.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,888,760.519048268421,0.005638268420966597,PG_024,3,887;888;889,760.49229467;760.51904827;760.54989414
99,PS-H__0084,PS 16:1_18:1,PS 16:1_18:1,PS,[M-H]-,PS-H,758.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,880,758.5023055103966,0.0045455103966105526,PG_018,2,880;881,758.50230551;758.54553569
100,PS-H__0087,PS 20:0_16:1,PS 20:0_16:1,PS,[M-H]-,PS-H,788.54471,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1018,788.5488696281399,0.004159628139859706,PG_088,4,1017;1018;1019,788.52101563;788.54886963;788.58025979
101,PS-H__0088,PS 16:1_20:1,PS 16:1_20:1,PS,[M-H]-,PS-H,786.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1006,786.5320567627151,0.0029967627151563647,PG_080,5,1005;1006;1007,786.50749342;786.53205676;786.56486845
102,PS-H__0089,PS 16:1_20:2,PS 16:1_20:2,PS,[M-H]-,PS-H,784.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,996,784.5155743181765,0.0021643181764829933,PG_074,5,995;996;997,784.49265224;784.51557432;784.54995930
103,PS-H__0090,PS 16:1_20:3,PS 16:1_20:3,PS,[M-H]-,PS-H,782.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,986,782.4987256298956,0.0009656298956315368,PG_068,5,985;986,782.47901955;782.49872563
104,PS-H__0091,PS 16:1_20:4,PS 16:1_20:4,PS,[M-H]-,PS-H,780.48211,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,977,780.4827858582096,0.0006758582095471866,PG_063,2,977,780.48278586
105,PS-H__0107,PS 18:0_18:0,PS 18:0_18:0,PS,[M-H]-,PS-H,790.56036,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1030,790.5659087838933,0.005548783893345899,PG_093,5,1029;1030;1031,790.53953608;790.56590878;790.59584237
106,PS-H__0108,PS 18:0_18:1,PS 18:0_18:1,PS,[M-H]-,PS-H,788.54471,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1018,788.5488696281399,0.004159628139859706,PG_088,4,1017;1018;1019,788.52101563;788.54886963;788.58025979
107,PS-H__0109,PS 18:0_18:2,PS 18:0_18:2,PS,[M-H]-,PS-H,786.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1006,786.5320567627151,0.0029967627151563647,PG_080,5,1005;1006;1007,786.50749342;786.53205676;786.56486845
108,PS-H__0110,PS 18:0_18:3,PS 18:0_18:3,PS,[M-H]-,PS-H,784.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,996,784.5155743181765,0.0021643181764829933,PG_074,5,995;996;997,784.49265224;784.51557432;784.54995930
109,PS-H__0131,PS 18:1_18:1,PS 18:1_18:1,PS,[M-H]-,PS-H,786.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1006,786.5320567627151,0.0029967627151563647,PG_080,5,1005;1006;1007,786.50749342;786.53205676;786.56486845
110,PS-H__0132,PS 18:1_18:2,PS 18:1_18:2,PS,[M-H]-,PS-H,784.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,996,784.5155743181765,0.0021643181764829933,PG_074,5,995;996;997,784.49265224;784.51557432;784.54995930
111,PS-H__0133,PS 18:1_18:3,PS 18:1_18:3,PS,[M-H]-,PS-H,782.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,986,782.4987256298956,0.0009656298956315368,PG_068,5,985;986,782.47901955;782.49872563
112,PS-H__0154,PS 18:2_18:2,PS 18:2_18:2,PS,[M-H]-,PS-H,782.49776,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,986,782.4987256298956,0.0009656298956315368,PG_068,5,985;986,782.47901955;782.49872563
113,PS-H__0456,PS 17:0_18:1,PS 17:0_18:1,PS,[M-H]-,PS-H,774.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,950,774.5384478783408,0.009387878340817224,PG_050,7,949;950;951,774.51470221;774.53844788;774.56557391
114,PS-H__0457,PS 17:0_18:2,PS 17:0_18:2,PS,[M-H]-,PS-H,772.51341,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,943,772.5211550771164,0.007745077116396715,PG_045,3,942;943;944,772.50004544;772.52115508;772.56547265
115,PS-H__0477,PS 18:0_17:1,PS 18:0_17:1,PS,[M-H]-,PS-H,774.52906,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,950,774.5384478783408,0.009387878340817224,PG_050,7,949;950;951,774.51470221;774.53844788;774.56557391
116,PE-H__0069,PE 16:0_22:1,PE 16:0_22:1,PE,[M-H]-,PE-H,772.58618,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,945,772.5850210980531,0.0011589019469511186,PG_046,4,944;945,772.56547265;772.58502110
117,PE-H__0070,PE 16:0_22:2,PE 16:0_22:2,PE,[M-H]-,PE-H,770.57053,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,937,770.5695666604838,0.0009633395161472436,PG_042,5,936;937,770.54882528;770.56956666
118,PE-H__0071,PE 16:0_22:3,PE 16:0_22:3,PE,[M-H]-,PE-H,768.55488,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,928,768.5539234965404,0.0009565034596334954,PG_038,6,927;928,768.51903880;768.55392350
119,PE-H__0072,PE 16:0_22:4,PE 16:0_22:4,PE,[M-H]-,PE-H,766.53923,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,920,766.5384336467015,0.0007963532984831545,PG_035,6,918;919;920;921,766.49740882;766.51515413;766.53843365;766.55878405
120,PE-H__0073,PE 16:0_22:5,PE 16:0_22:5,PE,[M-H]-,PE-H,764.52358,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,910,764.5229614966864,0.000618503313603469,PG_033,5,908;909;910;911,764.48323586;764.50311613;764.52296150;764.55121517
121,PE-H__0074,PE 16:0_22:6,PE 16:0_22:6,PE,[M-H]-,PE-H,762.50793,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,898,762.5073424680814,0.0005875319185406624,PG_028,4,897;898;899,762.48080041;762.50734247;762.53525859
122,PE-H__0079,PE 16:0_24:4,PE 16:0_24:4,PE,[M-H]-,PE-H,794.57053,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1054,794.569409779323,0.00112022067696671,PG_104,7,1053;1054;1055,794.54113848;794.56940978;794.59014823
123,PE-H__0080,PE 16:0_24:5,PE 16:0_24:5,PE,[M-H]-,PE-H,792.55488,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1044,792.5539464877003,0.0009335122997526923,PG_099,7,1042;1043;1044;1045,792.51211691;792.53031980;792.55394649;792.58274200
124,PE-H__0081,PE 16:0_24:6,PE 16:0_24:6,PE,[M-H]-,PE-H,790.53923,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1029,790.5395360768781,0.0003060768781324441,PG_092,7,1028;1029;1030,790.51231527;790.53953608;790.56590878
125,PE-H__0093,PE 22:0_16:1,PE 22:0_16:1,PE,[M-H]-,PE-H,772.58618,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,945,772.5850210980531,0.0011589019469511186,PG_046,4,944;945,772.56547265;772.58502110
126,PE-H__0094,PE 16:1_22:1,PE 16:1_22:1,PE,[M-H]-,PE-H,770.57053,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,937,770.5695666604838,0.0009633395161472436,PG_042,5,936;937,770.54882528;770.56956666
127,PE-H__0095,PE 16:1_22:2,PE 16:1_22:2,PE,[M-H]-,PE-H,768.55488,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,928,768.5539234965404,0.0009565034596334954,PG_038,6,927;928,768.51903880;768.55392350
128,PE-H__0096,PE 16:1_22:3,PE 16:1_22:3,PE,[M-H]-,PE-H,766.53923,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,920,766.5384336467015,0.0007963532984831545,PG_035,6,918;919;920;921,766.49740882;766.51515413;766.53843365;766.55878405
129,PE-H__0097,PE 16:1_22:4,PE 16:1_22:4,PE,[M-H]-,PE-H,764.52358,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,910,764.5229614966864,0.000618503313603469,PG_033,5,908;909;910;911,764.48323586;764.50311613;764.52296150;764.55121517
130,PE-H__0098,PE 16:1_22:5,PE 16:1_22:5,PE,[M-H]-,PE-H,762.50793,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,898,762.5073424680814,0.0005875319185406624,PG_028,4,897;898;899,762.48080041;762.50734247;762.53525859
131,PE-H__0099,PE 16:1_22:6,PE 16:1_22:6,PE,[M-H]-,PE-H,760.49228,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,887,760.4922946660312,1.466603112021403e-05,PG_023,3,887;888,760.49229467;760.51904827
132,PE-H__0111,PE 18:0_20:0,PE 18:0_20:0,PE,[M-H]-,PE-H,774.60183,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,952,774.5998042816037,0.002025718396225784,PG_052,1,951;952,774.56557391;774.59980428
133,PE-H__0112,PE 18:0_20:1,PE 18:0_20:1,PE,[M-H]-,PE-H,772.58618,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,945,772.5850210980531,0.0011589019469511186,PG_046,4,944;945,772.56547265;772.58502110
134,PE-H__0113,PE 18:0_20:2,PE 18:0_20:2,PE,[M-H]-,PE-H,770.57053,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,937,770.5695666604838,0.0009633395161472436,PG_042,5,936;937,770.54882528;770.56956666
135,PE-H__0114,PE 18:0_20:3,PE 18:0_20:3,PE,[M-H]-,PE-H,768.55488,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,928,768.5539234965404,0.0009565034596334954,PG_038,6,927;928,768.51903880;768.55392350
136,PE-H__0115,PE 18:0_20:4,PE 18:0_20:4,PE,[M-H]-,PE-H,766.53923,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,920,766.5384336467015,0.0007963532984831545,PG_035,6,918;919;920;921,766.49740882;766.51515413;766.53843365;766.55878405
137,PE-H__0116,PE 18:0_20:5,PE 18:0_20:5,PE,[M-H]-,PE-H,764.52358,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,910,764.5229614966864,0.000618503313603469,PG_033,5,908;909;910;911,764.48323586;764.50311613;764.52296150;764.55121517
138,PE-H__0120,PE 18:0_22:3,PE 18:0_22:3,PE,[M-H]-,PE-H,796.58618,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1064,796.5852254510477,0.0009545489523361539,PG_107,5,1063;1064;1065,796.55259375;796.58522545;796.62455516
139,PE-H__0121,PE 18:0_22:4,PE 18:0_22:4,PE,[M-H]-,PE-H,794.57053,748.0,798.0,True,precursor M0 lies inside frozen acquisition isolation window 748–798 m/z,1054,794.569409779323,0.00112022067696671,PG_104,7,1053;1054;1055,794.54113848;794.56940978;794.59014823
