dataset_id,domain,K,split,replicate,candidate_index,candidate_id,lipid_name,lipid_class,X_hat,rho_zero,rho_zero_status,raw_solver_reported,molecular_truth,candidate_truth,reportable_truth
D0__HOLD_R2_K125,D0,125,HOLD,R2,384,PEO-H__0125,PE O-18:0_20:4,PE,0.01871946961743915,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,385,PEO-H__0126,PE O-18:0_20:5,PE,5.422511113202739e-06,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,386,PEO-H__0127,PE O-18:0_22:0,PE,0.0003553483087114738,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,387,PEO-H__0128,PE O-18:0_22:1,PE,0.01392936197134602,3.827658823840898e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,388,PEO-H__0129,PE O-18:0_22:2,PE,0.006000292105143255,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,389,PEO-H__0130,PE O-18:0_22:3,PE,0.0005223662911410429,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,390,PEO-H__0131,PE O-18:0_22:4,PE,0.004048460849657946,1.0093670201093552e-07,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,391,PEO-H__0132,PE O-18:0_22:5,PE,0.001870271025149235,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,392,PEO-H__0133,PE O-18:0_22:6,PE,0.001262381815253715,1.685046684766379e-27,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,393,PEO-H__0149,PE O-18:1_20:0,PE,0.0027586094260396744,3.8334535466765506e-26,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,394,PEO-H__0150,PE O-18:1_20:1,PE,0.030227991829345175,6.75451915948466e-08,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,395,PEO-H__0151,PE O-18:1_20:2,PE,0.0005320192074541625,,NOT_COMPUTED,False,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,396,PEO-H__0152,PE O-18:1_20:3,PE,0.010105713791953195,8.259045061904594e-24,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,397,PEO-H__0153,PE O-18:1_20:4,PE,1.3177124053507266e-05,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,398,PEO-H__0154,PE O-18:1_20:5,PE,0.037003365321318815,7.67335285169131e-06,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,399,PEO-H__0155,PE O-18:1_22:0,PE,0.0006890291326873385,,NOT_COMPUTED,False,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,400,PEO-H__0156,PE O-18:1_22:1,PE,0.011895727065515156,1.4908507091736702e-22,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,401,PEO-H__0157,PE O-18:1_22:2,PE,0.0010002229751748858,2.0030444349283232e-25,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,402,PEO-H__0158,PE O-18:1_22:3,PE,0.00877900807649424,1.3028571294294247e-10,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,403,PEO-H__0159,PE O-18:1_22:4,PE,0.001071049528875499,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,404,PEO-H__0160,PE O-18:1_22:5,PE,0.005458663965886115,5.163687614366793e-24,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,405,PEO-H__0161,PE O-18:1_22:6,PE,0.03280061566594289,2.596751336109241e-06,COMPUTED,True,True,True,True
D0__HOLD_R2_K125,D0,125,HOLD,R2,406,PEO-H__0177,PE O-18:2_20:0,PE,0.006587138827370025,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,407,PEO-H__0178,PE O-18:2_20:1,PE,0.00240463853873176,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,408,PEO-H__0179,PE O-18:2_20:2,PE,0.001060209781732825,0.0,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,409,PEO-H__0180,PE O-18:2_20:3,PE,0.005232626203418283,2.7350800851346586e-24,COMPUTED,True,False,False,False
D0__HOLD_R2_K125,D0,125,HOLD,R2,410,PEO-H__0181,PE O-18:2_20:4,PE,0.0047735775757080795,0.0,COMPUTED,True,False,False,False
