dataset_id,lipid_name,K,replicate,truth,reportable_truth,clean_raw,mild_raw,clean_rho,mild_rho,clean_X_hat,mild_X_hat,clean_at_clean,clean_at_mild,mild_at_clean,mild_at_mild,score_direction,cone_isolation,max_fragment_cosine
HOLD_R1_K050,PA 22:1_18:2,50,R1,True,True,True,True,0.00021972958724138746,0.00032287513521275134,0.05460436543386802,0.049611011517268794,True,True,True,True,up,0.3672416022212644,0.8804726866933393
HOLD_R1_K050,PA 22:1_20:2,50,R1,True,True,True,True,0.00039792534118677,0.0003413803182512855,0.04848513268154571,0.04154374302651746,True,True,True,True,down,0.43337633237958284,0.8789327040599717
HOLD_R1_K050,PA 22:1_20:3,50,R1,True,True,True,True,3.934270730731144e-05,9.4935801190156e-05,0.014605497349478063,0.015489621250886956,True,True,True,True,up,0.47201880717776407,0.8266719825061805
HOLD_R1_K050,PA 22:1_20:4,50,R1,False,False,True,True,1.475158921254423e-21,5.020642561807761e-06,0.0017491850716109634,0.0038188343913405022,False,False,True,False,up,0.4982506449670433,0.7912873858859593
HOLD_R1_K050,PA 22:1_20:5,50,R1,False,False,False,False,,,1.237591424360735e-07,9.84329116083305e-06,False,False,False,False,not_jointly_reported,0.35373566324826666,0.8941830868357824
HOLD_R1_K050,PA 22:2_20:4,50,R1,False,False,False,False,,,8.708998619903329e-05,0.000630243343496572,False,False,False,False,not_jointly_reported,0.47434523544092577,0.782540752402415
HOLD_R1_K050,PA 22:3_20:4,50,R1,False,False,False,False,,,0.0,2.0067727131724486e-07,False,False,False,False,not_jointly_reported,0.5133313032763523,0.857899231006412
HOLD_R1_K050,PA 22:3_22:6,50,R1,False,False,False,False,,,5.1998579118967944e-08,3.580523872638754e-08,False,False,False,False,not_jointly_reported,0.27640168722125424,0.8781031661032047
HOLD_R1_K050,PA 22:4_22:5,50,R1,False,False,False,False,,,2.372681278571446e-07,0.0,False,False,False,False,not_jointly_reported,0.3689568116282089,0.8791048786261756
HOLD_R1_K050,PA 22:4_22:6,50,R1,False,False,False,False,,,0.00015039347983266345,0.00035832126937197903,False,False,False,False,not_jointly_reported,0.21443724145284473,0.8791048786261756
HOLD_R1_K050,PA 22:5_22:5,50,R1,False,False,False,False,,,2.0101977476669675e-06,0.0,False,False,False,False,not_jointly_reported,0.37471749963267753,0.9264320052062154
HOLD_R1_K050,PA 22:5_22:6,50,R1,False,False,False,False,,,0.0006965522699505414,0.0001660041485481017,False,False,False,False,not_jointly_reported,0.2059912863450382,0.9264320052062154
HOLD_R1_K050,PA 22:6_22:6,50,R1,True,True,True,True,0.0024635364054070136,0.0025215283959954056,0.05752008395725971,0.052788080827182386,True,True,True,True,up,0.5618631902016936,0.691000163096786
HOLD_R1_K050,PA 24:0_16:1,50,R1,False,False,False,False,,,0.00011499304543648803,4.962926371365187e-05,False,False,False,False,not_jointly_reported,0.47172636833494863,0.7350890401757907
HOLD_R1_K050,PA 24:0_18:1,50,R1,False,False,False,False,,,0.0005608850647070163,0.00034338938053453177,False,False,False,False,not_jointly_reported,0.43680623844895256,0.7371891580184492
HOLD_R1_K050,PA 24:0_18:2,50,R1,False,False,False,False,,,0.0002433153466408681,0.0003461572872352386,False,False,False,False,not_jointly_reported,0.4349361980895777,0.674205896426856
HOLD_R1_K050,PA 24:1_18:2,50,R1,False,False,True,True,0.0,1.0414032132579448e-05,0.0030844854406599444,0.005828359022104786,False,False,True,False,up,0.416531063009088,0.7481851339902038
HOLD_R1_K050,PC 14:0_17:1,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,"{""347"": 0.09548835338967109, ""359"": 0.04847231659048648, ""366"": 0.2483052155298588}","{""347"": 0.9862392575672295, ""359"": 0.9862392575672295, ""366"": 0.9652339242076485}"
HOLD_R1_K050,PC 14:0_18:0,50,R1,False,False,False,False,,,0.0,2.1228598485137976e-07,False,False,False,False,not_jointly_reported,"{""343"": 0.4124557378851926, ""355"": 0.40651003337338365, ""367"": 0.06684283090386553}","{""343"": 0.7261090115981036, ""355"": 0.9037536858220203, ""367"": 0.9037536858220203}"
HOLD_R1_K050,PC 14:0_18:1,50,R1,False,False,False,False,,,1.0190088855386224e-07,6.216920551133497e-09,False,False,False,False,not_jointly_reported,"{""344"": 0.2403996776773795, ""356"": 0.18245888828111903, ""368"": 0.10173303336151761}","{""344"": 0.8770364515462538, ""356"": 0.9511016162675965, ""368"": 0.9511016162675965}"
HOLD_R1_K050,PC 14:0_18:2,50,R1,False,False,False,False,,,2.1169143374454163e-06,2.762850413853444e-06,False,False,False,False,not_jointly_reported,0.5260423696444757,0.5944314846262744
HOLD_R1_K050,PC 14:0_20:0,50,R1,False,False,False,False,,,0.0,0.0,False,False,False,False,not_jointly_reported,0.5174354081656964,0.6471130837014081
HOLD_R1_K050,PC 14:0_20:1,50,R1,False,False,False,False,,,0.0006329259677335884,0.00040309795791289147,False,False,False,False,not_jointly_reported,0.40061504805859177,0.6352892103486674
